sigma_xl,terminal_output_capital_ratio,duration,initial_log_consumption,initial_log_shadow_value,mesh_nodes,max_rms_residual
1.5,20.0,280.0410831099576,-0.44284305341911784,-0.7870376224348508,355,2.9946656764318935e-05
1.5,50.0,280.29218803681806,-0.4428430520911405,-0.7870392129332987,403,2.9608194744266952e-05
