scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,output_growth,output_per_capita_growth,wage_growth
equilibrium_sigma_1.5,0.0,280.29218803681806,0.9200248718261719,0.0,0.0,-0.4428430520911405,-0.7870392129332987,-0.032062534271453835,-0.4880414616817609,-4.379436098541274,-6.9462167682226825,-0.0009627320395343301,-9.160378108391939,-7.480191199054072,-0.032062534271453835,-0.4428430520911405,0.9200248718261719,0.07497265420291713,0.0033968198609507353,0.04935841135525134,0.037358411355251336,0.04761821884964049,0.38593457986439794,0.008801543158284087,0.12735841135525133,0.07735841135525133,0.0009622687617270799,0.054899580254145916,0.1510845629834345,0.012940756049862069,0.00010854827271398318,0.3238182342894165,0.6631324613880076,1.0000000000000002,0.6332172812297222,0.6338271933382047,0.1813975795128006,0.03399772472641663,0.021997724726416628,0.021338058489439427
equilibrium_sigma_1.5,1.0,279.29218803681806,0.9907432700626344,0.0034379105007815406,0.012,-0.3959319498111061,-0.7418396997350479,0.0006273832288480885,-0.4679803549543999,-4.33132207300411,-6.897003380915312,0.011000748237586847,-9.071042507628547,-7.424864106212798,-0.011372616771151912,-0.4079319498111061,0.9787432700626344,0.06672024785527843,0.0034782649157152146,0.0446060987813675,0.0326060987813675,0.04292181503590978,0.3715336326708106,0.009361911304533382,0.1226060987813675,0.07260609878136749,0.0009987526766221035,0.05552817525011664,0.15367561024299098,0.013096799825686858,0.00011487455042964406,0.3141579593110374,0.6726303663128461,1.0,0.6327961225824218,0.6334287612531728,0.17743604243713412,0.03138211027418722,0.01938211027418722,0.01878415496528263
equilibrium_sigma_1.5,2.0,278.29218803681806,1.0539185471032566,0.006955163458993563,0.024,-0.35337802088488723,-0.7009451822299281,0.030701686276920603,-0.4504731517511956,-4.287005159553869,-6.850817045518893,0.022965978882003208,-8.989841765824368,-7.3732568856954455,0.006701686276920603,-0.37737802088488726,1.0299185471032566,0.0598309301083885,0.0035556069950249173,0.040614150662689245,0.028614150662689245,0.038978472257931406,0.3594368201899674,0.009892161279263846,0.11861415066268925,0.06861415066268925,0.001033486702375446,0.05609645272062009,0.15596641793478735,0.013238023669507215,0.0001209004048031644,0.3055639376353856,0.6810771382903039,0.9999999999999999,0.6324153766771844,0.6330696457377321,0.17413776052306015,0.028976190852880473,0.016976190852880473,0.016435232218433765
equilibrium_sigma_1.5,3.0,277.29218803681806,1.1107632608379112,0.010547944597164583,0.036000000000000004,-0.3145022701742386,-0.6636835137328682,0.058579764934609035,-0.43510989051753235,-4.245863016273316,-6.807194244280814,0.03493273999919563,-8.91549244211756,-7.324810598026085,0.02257976493460903,-0.35050227017423863,1.0747632608379112,0.05401836093538337,0.0036294065452792167,0.03722758336777323,0.02522758336777323,0.03563409615355011,0.3491744950538582,0.010394248711434096,0.11522758336777322,0.06522758336777322,0.001066690681404997,0.05661362328050975,0.15799955750895098,0.013366673450687924,0.00012665138992354552,0.2978979347255564,0.688608740433832,0.9999999999999999,0.6320688724020583,0.6327438143325236,0.1713753960696834,0.026947073392100118,0.014947073392100118,0.01445457515783699
equilibrium_sigma_1.5,4.0,276.29218803681806,1.162242851423414,0.014212953068653776,0.048,-0.2787599750379933,-0.6295159905237148,0.08459583306112084,-0.42156400143552164,-4.207400120007219,-6.765760351793591,0.04690084197393555,-8.846966771464881,-7.279071730240452,0.03659583306112084,-0.3267599750379933,1.114242851423414,0.04907017569657618,0.00370013344901448,0.034330524407623374,0.022330524407623373,0.032773586054583054,0.34039552850794963,0.010870100042833161,0.11233052440762338,0.06233052440762338,0.0010985541731448464,0.05708715706301129,0.15981000388090244,0.01348457409990357,0.0001321513627890975,0.29104429229969303,0.6953389822376143,1.0,0.6317516047677824,0.632446381379337,0.16905251226222537,0.02522025322541227,0.01322025322541227,0.012769252435458095
equilibrium_sigma_1.5,5.0,275.29218803681806,1.2091377213936676,0.017947320829626218,0.06,-0.24570774563692402,-0.5980045225246831,0.10902027138543358,-0.40957138564661616,-4.171215910870143,-6.726208408033852,0.05887011963217387,-8.78342959612586,-7.235667342757413,0.04902027138543358,-0.30570774563692404,1.1491377213936675,0.044825555564402444,0.003768186427308104,0.03183455679318021,0.01983455679318021,0.0303091943967627,0.33283199028236427,0.011321587279249487,0.10983455679318022,0.05983455679318021,0.0011292422933419026,0.057523195716631774,0.1614268385279269,0.01359322865716837,0.00013742257814019788,0.28490517237827834,0.7013641763864131,1.0,0.6314594588698567,0.6321733357372943,0.16709463956678505,0.023739398690024727,0.011739398690024726,0.011324143567700284
equilibrium_sigma_1.5,6.0,274.29218803681806,1.252086842169915,0.02174854906689648,0.07200000000000001,-0.2149802195783374,-0.5687884228641291,0.1320746304411703,-0.39891571430012107,-4.136982411128135,-6.688283962259241,0.07084042791277155,-8.724193807656757,-7.194287267152837,0.060074630441170285,-0.2869802195783374,1.1800868421699149,0.04116050343046497,0.003833907185610113,0.029671017368316933,0.017671017368316933,0.028172839182312694,0.326275810207021,0.011750510046017541,0.10767101736831694,0.05767101736831694,0.0011589000433019372,0.05792684692745048,0.16287448674897723,0.013693889183767276,0.000142485767833229,0.27939706401349185,0.7067665610349075,0.9999999999999999,0.631189012558608,0.6319213462341223,0.16544330415020306,0.022461112504336966,0.010461112504336966,0.010076800085704218
equilibrium_sigma_1.5,7.0,273.29218803681806,1.2916193103960392,0.025614456710998115,0.084,-0.18627307755255185,-0.5415675054810236,0.1539424963941075,-0.3894177854752077,-4.104428024813508,-6.651773934642349,0.08281163850158628,-8.668687922388507,-7.154670972799921,0.0699424963941075,-0.27027307755255187,1.207619310396039,0.03797788437832321,0.003897591120423792,0.027785751924918577,0.015785751924918576,0.0263108716467228,0.3205628846209654,0.012158585124514077,0.10578575192491858,0.05578575192491858,0.0011876556765064831,0.058302401618670244,0.16417364517210403,0.01378760914895384,0.00014736023086535922,0.27444813045761224,0.7116169001625686,1.0,0.6309373909154908,0.6316876183011452,0.16405191290124277,0.02135142515587618,0.00935142515587618,0.008994006729578424
equilibrium_sigma_1.5,8.0,272.29218803681806,1.3281775351955023,0.0295431384706043,0.096,-0.15933048049361984,-0.5160895922969918,0.17477748075292265,-0.3809277008409642,-4.0733256322219695,-6.616498313944016,0.09478363721158362,-8.616432132420126,-7.116597745928197,0.07877748075292265,-0.25533048049361984,1.2321775351955022,0.03520053650950708,0.003959495484915361,0.026135465039516033,0.014135465039516033,0.024680436939246014,0.3155620152712607,0.012547440101470176,0.10413546503951604,0.05413546503951604,0.0012156233190512595,0.05865349614270824,0.16534198432804756,0.01387528260754803,0.00015206391787499335,0.26999617313341,0.7159764803411668,0.9999999999999998,0.6307021575843854,0.6314697869827179,0.16288285964379953,0.020383365633130063,0.008383365633130063,0.008049399995131129
equilibrium_sigma_1.5,9.0,271.29218803681806,1.3621346592475827,0.033532929951405985,0.108,-0.13393556954197783,-0.4921410734062789,0.19470922766036763,-0.37331898548494546,-4.043483643886052,-6.582303834199812,0.1067563218743511,-8.56702022200073,-7.079879183057487,0.08670922766036764,-0.2419355695419778,1.2541346592475826,0.03276639488477186,0.004019845787691523,0.02468512045791927,0.01268512045791927,0.023246883769583032,0.31116703169066445,0.012918610836920889,0.10268512045791928,0.052685120457919274,0.0012429050785159287,0.05898323619641076,0.16639469302440685,0.013957674180664405,0.00015661351903880307,0.26598703093665493,0.719898681363642,1.0,0.6304812317484048,0.6312658352609442,0.16190544245648247,0.019535253525312393,0.007535253525312393,0.007221794329287851
