scenario,sigma_xl,endpoint_year,endpoint_ai_share,endpoint_capability_growth,endpoint_output_per_capita_growth,endpoint_net_capital_return,minimum_output_per_capita_growth,year_of_minimum_output_per_capita_growth
near_unit_100,1.0,1000.0,0.2,0.018278776745261665,0.0045523044660957905,0.0440377583139069,0.003625898045514841,412.0
near_unit_101,1.01,1000.0,0.22770366795342148,0.01950912998368167,0.005813043110335158,0.04575985308461471,0.003831931367900953,348.0
near_unit_105,1.05,1000.0,0.4623343586980304,0.047179891373670665,0.04035619738143882,0.08984257998605825,0.004410258138477518,192.0
near_unit_110,1.1,744.0,0.8099346810902635,0.4711646349600216,0.8608064227236292,1.180370182350458,0.004629914387292499,98.0
