parameter,value
beta,0.13399999999999998
upsilon,0.25
d_ai,0.2375
capability_growth,0.02273684210526316
per_capita_growth,0.00568421052631579
research_compute_share,0.005109259953161593
investment_share,0.23343234323432344
capital_output_ratio,3.448844884488449
alpha,0.33
omega_l,0.8
omega_x,0.2
n,0.012
delta,0.05
discount,0.04
xi,1.0
omega_h,0.65
omega_m,0.35
sigma_hm,2.0
phi,0.65
eta,0.45
chi,0.0983886742632607
initial_capital,2.5093528013468305
