sigma_xl,terminal_output_capital_ratio,duration,initial_log_consumption,initial_log_shadow_value,mesh_nodes,max_rms_residual
2.0,20.0,208.68408248484346,-0.39614681141536684,-1.0765476912700427,329,2.9936951042121364e-05
2.0,50.0,208.91787666489802,-0.3961468293857848,-1.0765220206347266,400,2.9964353633387493e-05
2.0,100.0,208.99617833201404,-0.3961468320486686,-1.076518216134755,346,2.9302896210946145e-05
