scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,output_growth,output_per_capita_growth,wage_growth
equilibrium_sigma_2,0.0,208.99617833201404,0.9200248718261719,0.0,0.0,-0.3961468320486686,-1.076518216134755,0.03257269429472126,-0.38854653032470055,-4.922291979716042,-7.656293337514563,-0.0004731695570872356,-9.671464814976414,-8.158904197238442,0.03257269429472126,-0.3961468320486686,0.9200248718261719,0.09061618962075195,0.002502821785927257,0.05786211035231203,0.045862110352312024,0.06286541624848885,0.4117033647039758,0.006079187105324834,0.13586211035231202,0.08586211035231202,0.0004730576300265472,0.020893470318491977,0.16429323435915982,0.0070490341326068864,6.103656120807059e-05,0.3415473413044808,0.6513425880017042,1.0,0.6560013748866103,0.6563118482140848,0.1358039349837698,0.0384842240815976,0.0264842240815976,0.025911581675706286
equilibrium_sigma_2,1.0,207.99617833201404,1.004812773489495,0.0025446757804423446,0.012,-0.341577605725782,-1.0169883200283323,0.06933969028891152,-0.36432374059343764,-4.856406398685026,-7.589822188984107,0.011500334841463851,-9.55654808698343,-8.084392769894073,0.05733969028891152,-0.353577605725782,0.9928127734894949,0.07935604330802455,0.002585860450684152,0.051492060613969236,0.03949206061396923,0.056414312869839896,0.3924001836786946,0.006589855352365248,0.12949206061396923,0.07949206061396923,0.0004995403466897307,0.021452088822931332,0.16764614795465443,0.00723886563756533,6.599789058563352e-05,0.32965337094221125,0.6630417655296379,1.0000000000000002,0.6556271004886359,0.6559547763650342,0.13275414201365637,0.03504976790678291,0.023049767906782908,0.022533997786819582
equilibrium_sigma_2,2.0,206.99617833201404,1.0794257572623236,0.005170496419432629,0.024,-0.2927861372181666,-0.9633054990383068,0.10267223010828708,-0.3434785347510614,-4.797151258354834,-7.52765511441575,0.02347462193823524,-9.45269060073032,-8.015175544317778,0.07867223010828708,-0.3167861372181666,1.0554257572623236,0.07016942142829015,0.0026652211300216755,0.04625540031182581,0.03425540031182581,0.05111920549707939,0.37653151609644187,0.007078348069379208,0.12425540031182582,0.07425540031182581,0.000525240074877022,0.021954001012663385,0.17057509272045063,0.007409487651719086,7.082044478229284e-05,0.3191483748136262,0.6733713170898724,1.0,0.6552908193215154,0.6556351851952795,0.13034626926972762,0.03192048271065007,0.019920482710650066,0.01945727773674452
equilibrium_sigma_2,3.0,205.99617833201404,1.1456780843634826,0.007874091881578862,0.036000000000000004,-0.2487763530301293,-0.914453431418496,0.13318065571021165,-0.3254091851199486,-4.74332412914144,-7.469055990584785,0.035449553493974995,-9.35795277763713,-7.950365681845567,0.09718065571021164,-0.28477635303012927,1.1096780843634826,0.06256676982521125,0.0027414999825426463,0.04189246617317809,0.029892466173178093,0.04671593731638879,0.36331050355508515,0.007545886936150692,0.1198924661731781,0.0698924661731781,0.0005502950381399409,0.0224078502668309,0.17314676831340894,0.007563820368121193,7.55184596176318e-05,0.3098362660141035,0.6825243951581577,1.0,0.6549867403212233,0.6553473747297951,0.12844462210707763,0.02933215881501333,0.01733215881501333,0.016913727829033776
equilibrium_sigma_2,4.0,204.99617833201404,1.20497024822929,0.010652634364220192,0.048,-0.20877258947726948,-0.8696401040588037,0.16133654773831374,-0.30965107909299383,-4.693996828012685,-7.413443910987799,0.04742500914942564,-9.270824485986232,-7.889260998886358,0.11333654773831374,-0.2567725894772695,1.15697024822929,0.05620003212702386,0.0028151902029285893,0.038216979170291314,0.026216979170291314,0.04301485693347173,0.3521726641523979,0.007993778306740907,0.1162169791702913,0.0662169791702913,0.0005748255750140661,0.022820629926554488,0.17541444145108176,0.0077042279984086215,8.010590119761816e-05,0.3015567161710974,0.6906589499292962,0.9999999999999999,0.6547101779492084,0.6550867385603856,0.12695053990776486,0.027165396343155207,0.015165396343155207,0.014785394276175562
equilibrium_sigma_2,5.0,203.99617833201404,1.258404683118039,0.013503748327492092,0.06,-0.17215935002072077,-0.8282366268221892,0.18751144839652206,-0.2958383965675975,-4.648438684508059,-7.360352382939974,0.05940088251218206,-9.190107592887617,-7.831295903617699,0.12751144839652206,-0.23215935002072077,1.198404683118039,0.05081502532283862,0.002886706491493989,0.03509174814242066,0.023091748142420657,0.03987618961102585,0.34270226709824436,0.008423365611020136,0.11309174814242065,0.06309174814242065,0.0005989380527718441,0.023198085146968396,0.17742133185365883,0.007832653940730364,8.459638343305369e-05,0.2941767096449859,0.6979060400308509,1.0000000000000002,0.654457282951531,0.6548494972342632,0.12579048649610794,0.025333215986598004,0.013333215986598004,0.012986402107403927
equilibrium_sigma_2,6.0,202.99617833201404,1.3068637546502269,0.01642544104684715,0.07200000000000001,-0.1384403712870847,-0.7897356266909117,0.21200297971150975,-0.283678274878186,-4.606064819538595,-7.309401200451864,0.07137707831651965,-9.114836167020684,-7.776008154309882,0.14000297971150974,-0.2104403712870847,1.2348637546502268,0.04622181643115891,0.0029564024028114542,0.03241344154114923,0.02041344154114923,0.037194588596902785,0.334586186488331,0.008835996589819052,0.11041344154114924,0.060413441541149235,0.0006227277080477331,0.02354499707013385,0.1792029832724634,0.007950716406927842,8.900311874813717e-05,0.2875845456773355,0.7043757347969887,1.0,0.6542248519630103,0.65463250976543,0.12490848369049302,0.023770729222337875,0.011770729222337874,0.01145272355377408
equilibrium_sigma_2,7.0,201.99617833201404,1.3510636646497167,0.019416048349883645,0.084,-0.1072101174167457,-0.7537222548466872,0.2350529068411978,-0.2729329494600493,-4.566400398528992,-7.2602765993202985,0.0833535103517775,-9.044220915052845,-7.7230153421642855,0.15105290684119782,-0.1912101174167457,1.2670636646497166,0.04227566161860068,0.003024582839231453,0.030102721128187855,0.018102721128187855,0.034889119106123204,0.3275840034187511,0.009232999193080635,0.10810272112818786,0.05810272112818786,0.0006462807188158591,0.023865387418286806,0.1807889570879169,0.008059777295149645,9.333887951122822e-05,0.2816854933561715,0.7101613904691675,0.9999999999999998,0.6540101904297477,0.6544331379485582,0.12426115105057177,0.02242855558425609,0.01042855558425609,0.010135660173886896
equilibrium_sigma_2,8.0,200.99617833201404,1.3915930754555124,0.022474190522231745,0.096,-0.07813320100414056,-0.7198532424879688,0.25686009088002193,-0.2634069545304122,-4.529055018251756,-7.21271675018161,0.09533009980461189,-8.977609076054883,-7.671997636729031,0.16086009088002193,-0.17413320100414056,1.2955930754555123,0.03886431879655343,0.0030915135570482814,0.028097625961087412,0.016097625961087412,0.03289653694796285,0.32150795745784067,0.009615667311916133,0.10609762596108742,0.056097625961087416,0.0006696758623486028,0.024162672407081837,0.1822040904349446,0.008160994033013754,9.76159977177256e-05,0.2763985050298676,0.7153428849394009,1.0,0.6538110094872551,0.6542491443471866,0.12381433579419067,0.02126845542055518,0.00926845542055518,0.00899752060568465
equilibrium_sigma_2,9.0,199.99617833201404,1.4289409137449893,0.025598737090255636,0.108,-0.05092947018166104,-0.6878417152087056,0.27758981768230817,-0.25493790824868,-4.493704271342021,-7.166501129363189,0.10730677402966186,-8.914455362672998,-7.622685119578301,0.16958981768230819,-0.15892947018166104,1.3209409137449892,0.03589943040318809,0.0031574282038411075,0.02634905301496516,0.014349053014965158,0.031166694740384734,0.3162092515605005,0.009985249287486437,0.10434905301496517,0.05434905301496516,0.0006929857447285698,0.024439776999919074,0.18346942510600014,0.008255358072480755,0.00010184635739338663,0.2716537545289149,0.7199890410412109,0.9999999999999999,0.6536253494100541,0.6540786165672671,0.12354079026949334,0.020260333158003907,0.008260333158003907,0.008008656251469723
