sigma_xl,terminal_output_capital_ratio,duration,initial_log_consumption,initial_log_shadow_value,mesh_nodes,max_rms_residual
1.35,20.0,332.94866770399915,-0.46738425111579524,-0.7350223505883712,481,2.9801147394844107e-05
1.35,50.0,333.22103115012817,-0.4673842508412481,-0.7350228162518947,791,2.9817240917830583e-05
