scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,singularity_time_estimate,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual
equilibrium_sigma_1.35,0.0,333.22103112977265,0.9200248718261719,0.0,0.0,-0.4673842508107585,-0.7350228162292886,-0.06914801353436584,-0.5476544757011056,-4.280636077617011,-6.741657502451486,-0.0011813861015456156,-9.075044870665913,-7.293195642234113,-0.06914801353436584,-0.4673842508107585,0.9200248718261719,0.06660414600842716,0.003695026253355357,0.04472177104413285,0.03272177104413285,0.041469080053784926,0.03161501103382536,0.019615011033825357,0.01902618160409819,0.37188415467919045,0.009935960451294053,0.12272177104413286,0.07272177104413285,0.0011806885397088141,0.07615436378610112,0.1435966805310288,0.014824292419869323,0.00012268421555187967,0.31354964857004164,0.671503374794537,0.9999999999999999,0.6189765762633123,0.6197082587023249,0.19108294311419674,21.22937745414167,-1.1700640456524525e-11,-1.1102230246251565e-16,1.155742168634788e-13,0.0,0.0
equilibrium_sigma_1.35,1.0,332.22103112977265,0.9831354438520165,0.0037336392888889956,0.012,-0.4246930322120219,-0.6955384650141941,-0.03876239324959746,-0.529828828062275,-4.238515727770931,-6.698334526764938,0.010781000805270561,-8.996070599701593,-7.244714016819883,-0.05076239324959746,-0.43669303221202194,0.9711354438520164,0.0598125727203663,0.0037715935979172276,0.040770708770731905,0.028770708770731904,0.03760729972967361,0.029224913583869583,0.017224913583869583,0.016692225622838563,0.35991123869918756,0.010479232633992603,0.1187707087707319,0.0687707087707319,0.0012182565170162276,0.07670627583964176,0.14580277656412152,0.014943378696470878,0.00012879247029415634,0.30511015192872937,0.6798176769045056,1.0,0.61860679518744,0.6193613361716189,0.18731936781282713,22.93560033699709,-1.1863993294725095e-11,5.551115123125783e-16,1.7197354651443675e-13,0.0,0.0
equilibrium_sigma_1.35,2.0,331.22103112977265,1.0399995710918715,0.007541959048144465,0.024,-0.3856454296573869,-0.6596151911382238,-0.010575378451806783,-0.5141500427915804,-4.199286669840759,-6.657444055983662,0.02274524725935235,-8.92382255837879,-7.1992207956581735,-0.03457537845180678,-0.40964542965738693,1.0159995710918714,0.05407196392574336,0.003844473470273827,0.03741308142864621,0.02541308142864621,0.034325806805796534,0.027204043925310728,0.015204043925310728,0.014719001828478184,0.34973661038983694,0.010992482216798953,0.1154130814286462,0.0654130814286462,0.0012539658675723645,0.07720839541234897,0.14776634454169302,0.015051866877898747,0.00013459407245779183,0.297572404014949,0.6872411350346944,0.9999999999999999,0.6182703750737261,0.6190466384287512,0.18413744745805297,24.57375651951008,-1.2010181044130874e-11,2.220446049250313e-16,2.403632848313464e-13,0.0,0.0
equilibrium_sigma_1.35,3.0,330.22103112977265,1.0915607237359388,0.011421516523928693,0.036000000000000004,-0.3497068509134455,-0.6267305961046294,0.015744616031154957,-0.5002942032733148,-4.162502270087413,-6.6186358515873005,0.03471113267266713,-8.857302674945739,-7.156293482131597,-0.020255383968845048,-0.3857068509134455,1.0555607237359388,0.04917703695490666,0.003914141813704065,0.034536379955977296,0.022536379955977296,0.031513939658774075,0.02548050662715129,0.013480506627151289,0.013036197429316942,0.3410193331999312,0.011477771001942874,0.1125363799559773,0.0625363799559773,0.0012880370945640798,0.07766807983829845,0.1495197600100699,0.0151513081738975,0.00014011496539082283,0.2908252620878876,0.6938833147728242,1.0000000000000002,0.6179623865083399,0.6187593715314817,0.18143282511994724,26.15079621679505,-1.2140238467295283e-11,0.0,3.1907809727727e-13,0.0,0.0
equilibrium_sigma_1.35,4.0,329.22103112977265,1.1385831844505672,0.015369307290268667,0.048,-0.3164412650475766,-0.5964591621907372,0.04046639595662033,-0.48799878260478474,-4.127800733098485,-6.5816226289847695,0.04667846578688304,-8.795698611005967,-7.115584163289043,-0.007533604043379674,-0.36444126504757657,1.0905831844505671,0.04497188934371435,0.0039810020837887875,0.03205451852501178,0.02005451852501178,0.029087138999642943,0.0239996587342306,0.0119996587342306,0.011590386241600026,0.3334985409848842,0.011937089955572628,0.11005451852501179,0.060054518525011785,0.001320661371317845,0.07809135714680991,0.15109003699800855,0.015242976546483687,0.00014537920723705418,0.2847745272385433,0.6998371170077359,0.9999999999999998,0.6176787907116373,0.6184956139773466,0.17912470506784314,27.672874446718414,-1.2258723550151451e-11,-5.551115123125783e-16,4.088396288182139e-13,0.0,0.0
equilibrium_sigma_1.35,5.0,328.22103112977265,1.1816939724849485,0.019382700320849527,0.06,-0.2854886940630146,-0.568450029414448,0.06381064026807831,-0.47704830349627214,-4.094885252491726,-6.54616601564917,0.05864707942124857,-8.738341039453145,-7.07680311389395,0.0038106402680783136,-0.3454886940630146,1.1216939724849484,0.04133600615237984,0.004045399672248902,0.02990048015386359,0.01790048015386359,0.026979661359741617,0.022719230047818506,0.010719230047818506,0.010340249342322139,0.3269711519814048,0.012372344311521918,0.1079004801538636,0.05790048015386359,0.0013520057942953039,0.07848322474494165,0.15249993833774422,0.015327930482665052,0.00015040909447074126,0.2793396469348899,0.7051820134879743,0.9999999999999999,0.6174162394208891,0.6182521198692877,0.17714949443093858,29.14546066543488,-1.2367235707744229e-11,5.551115123125783e-16,5.090372567906343e-13,0.0,0.0
equilibrium_sigma_1.35,6.0,327.22103112977265,1.2214132041898182,0.02345938555827837,0.07200000000000001,-0.25654880022963655,-0.5424108094185427,0.08596051984654934,-0.4672639486092212,-4.063509632826812,-6.512066235449724,0.07061682642548295,-8.684672549479377,-7.039706705626948,0.013960519846549335,-0.32854880022963656,1.1494132041898182,0.03817476707053863,0.004107632777397331,0.02802129499530532,0.01602129499530532,0.02513960832933808,0.021606010380259555,0.009606010380259555,0.00925333125900707,0.3212766515009252,0.012785344836630626,0.10602129499530533,0.056021294995305324,0.0013822174308368085,0.07884786835929194,0.1537688087531434,0.015407058379557897,0.00015522528117286244,0.274451214112846,0.7099865022264233,1.0000000000000002,0.6171719281992744,0.6180261747507282,0.175456412622188,30.57342932334503,-1.2464192872263524e-11,0.0,6.183387135649809e-13,0.0,0.0
equilibrium_sigma_1.35,7.0,326.22103112977265,1.2581764678763063,0.027597331133082152,0.084,-0.22936871091933428,-0.5180955917742296,0.10706952835616823,-0.45849590039873916,-4.033467691621377,-6.4791544034067705,0.08258757652696369,-8.634224621015223,-7.004088344909765,0.023069528356168226,-0.31336871091933427,1.1741764678763063,0.03541285707037571,0.004167960708141499,0.02637453362946974,0.014374533629469739,0.02352545863876409,0.020633548547532854,0.008633548547532854,0.008303787366048532,0.3162864655438477,0.013177802916652727,0.10437453362946975,0.05437453362946974,0.0014114264724536365,0.07918882515528243,0.15491320873265746,0.0154811124282786,0.00015984688824425032,0.27004904216660097,0.7143099985168763,1.0000000000000002,0.6169434871459607,0.6178154882812127,0.17400439377300073,31.96113475903524,-1.2554630945960099e-11,-2.220446049250313e-16,7.363554210826351e-13,0.0,0.0
equilibrium_sigma_1.35,8.0,325.22103112977265,1.2923516794854657,0.031794747836185785,0.096,-0.20373378880041765,-0.4952958620201775,0.1272673855039989,-0.450617567887036,-4.0045852742500285,-6.447286648310831,0.09455921379934337,-8.58660020089562,-6.969771533884402,0.03126738550399891,-0.2997337888004177,1.1963516794854656,0.03298958830029526,0.004226610393842018,0.024925802079441846,0.012925802079441846,0.022103593185271497,0.019780517767631345,0.007780517767631345,0.007470784022800547,0.3118963699377026,0.013551329227352759,0.10292580207944185,0.05292580207944185,0.0014397487665187036,0.07950910801299896,0.15594740780902522,0.015550734486867671,0.00016429161212758823,0.26608064825144134,0.7182043256495635,1.0000000000000002,0.6167288976312907,0.6176181125470098,0.17275985094622245,33.312475071370145,-1.2637182966734883e-11,0.0,8.646416915780719e-13,0.0,0.0
equilibrium_sigma_1.35,9.0,324.22103112977265,1.324251940506073,0.036050059353132685,0.108,-0.1794605476411071,-0.47383353867617406,0.14666454295866366,-0.44352118092379156,-3.9767141623672173,-6.416339574526533,0.10653163461760815,-8.54146035318456,-6.936604494394619,0.03866454295866366,-0.2874605476411071,1.216251940506073,0.03085552014244554,0.00428378153290843,0.02364692176326965,0.01164692176326965,0.020846498477523706,0.019029533920578157,0.007029533920578156,0.0067373421935856825,0.3080209750402111,0.013907434493216563,0.10164692176326966,0.051646921763269654,0.0014672878614064556,0.07981130128128011,0.15688377194288802,0.0156164760552755,0.00016857582723333792,0.262500046082544,0.7217149020349473,1.0000000000000002,0.6165264281415422,0.6174323791767476,0.17169503643930056,34.630946359637655,-1.271524552315384e-11,-1.1102230246251565e-15,1.0006440120946536e-12,0.0,0.0
