scenario,comparison_window_end,short_terminal_z,long_terminal_z,max_abs_difference_log_wage,max_abs_difference_wage_growth,max_abs_difference_log_capability,max_abs_difference_log_capital,max_abs_difference_log_consumption,max_abs_difference_log_shadow_value,max_abs_difference_ai_share,max_abs_difference_automated_research_share
sigma6_2_n030,60.0,3.0,10.0,0.001498713060515966,0.0007084825925929294,0.027615364082890004,0.0091148205638234,0.01870158035155467,0.026458578027243274,0.024882688786865725,0.00025623876622207775
sigma6_28_n039,55.0,10.0,50.0,0.0009860703801090054,0.0005796012469971856,0.0037237246651788958,0.001925363662997448,0.004507357787355559,0.0036097327871971174,0.002829767954325768,0.00016295117767564649
