scenario,sigma_xl,sigma_hm,horizon,initial_log_consumption,initial_log_shadow_value,initial_consumption_share,terminal_capital_growth,terminal_capability_growth,terminal_consumption_growth,target_aggregate_growth,target_capability_growth,terminal_consumption_share,target_consumption_share,mesh_nodes,max_rms_residual
equilibrium_sigma_0_75,0.75,2.0,400.0,-0.753158001402654,-0.35425369222000985,0.7785806591379841,0.011622524195661094,0.007462043536034719,0.012909326873991343,0.012,0.00675,0.7726668622217926,0.7726666666666666,276,4.757999865485572e-07
equilibrium_sigma_0_75,0.75,2.0,600.0,-0.753158008527197,-0.3542536958427749,0.7785806535482476,0.011912214271252143,0.0070333430907113465,0.01224970191363902,0.012,0.00675,0.7726666614022986,0.7726666666666666,491,2.592913935001992e-07
equilibrium_sigma_0_75,0.75,2.0,900.0,-0.7531580083807173,-0.3542538635529111,0.7785806516853417,0.011988843838686931,0.006803405633524097,0.01203306375568531,0.012,0.00675,0.7726666476959589,0.7726666666666666,601,5.363551069529872e-06
equilibrium_sigma_1_00,1.0,2.0,1000.0,-0.5926651948450575,-0.8126102776684336,0.7261174846629019,0.017444983041299766,0.01995243323032027,0.016805194418338824,0.01768421052631579,0.02273684210526316,0.7435023981125435,0.743502396812515,201,1.3792170963825326e-05
equilibrium_sigma_1_00,1.0,2.0,1500.0,-0.5926652807337922,-0.8126025312233985,0.7261174345899072,0.01764451125945969,0.022367875025297867,0.01756846937569951,0.01768421052631579,0.02273684210526316,0.743502396812519,0.743502396812515,202,1.5225159416121479e-05
equilibrium_sigma_1_00,1.0,2.0,2000.0,-0.5926651805999479,-0.8126024183676612,0.7261175074779256,0.017681138149171965,0.022710123189031647,0.017675842897044818,0.01768421052631579,0.02273684210526316,0.7435023968125136,0.743502396812515,203,1.3790443326805032e-05
equilibrium_sigma_1_00_hm_1_00,1.0,1.0,1000.0,-0.5931802602748081,-0.8048283256612969,0.7254125565136055,0.016344307428517127,0.01737469904042211,0.01634320999906299,0.016346076458752516,0.017384305835010064,0.7485388184185606,0.748538884196211,201,1.4207280802474514e-05
equilibrium_sigma_1_00_hm_1_00,1.0,1.0,1500.0,-0.593180361115115,-0.8048284598795139,0.7254124832307043,0.016346052797684488,0.017384180147350513,0.016346038572204742,0.016346076458752516,0.017384305835010064,0.7485388841961527,0.748538884196211,202,1.5608624298455604e-05
equilibrium_sigma_1_00_hm_1_00,1.0,1.0,2000.0,-0.5931802558823815,-0.80482834153652,0.7254125596843045,0.016346076151180097,0.017384304201600496,0.016346075966335576,0.016346076458752516,0.017384305835010064,0.7485388841963574,0.748538884196211,203,1.4207301588419888e-05
