scenario,initial_automation_share,initial_relative_wage_cost_ratio,critical_automation_share,half_automation_year,feedback_threshold_year,singularity_year
automation_initial_low,0.001,0.0034524320238605954,0.903225806451613,1090.331923387573,1254.1553435065678,1451.7204515019937
automation_initial_mid,0.01,0.034838177695320556,0.903225806451613,743.1854220937502,907.4789650339872,1105.1954940392245
automation_initial_high,0.1,0.38321995464852615,0.903225806451613,388.10797657424126,559.5246539229945,759.4541684566419
