sigma_xl,terminal_output_capital_ratio,duration,estimated_singularity_time,initial_log_consumption,initial_log_shadow_value,mesh_nodes,max_rms_residual
1.35,20.0,332.94866770399915,333.3434111584441,-0.46738425111579524,-0.7350223505883712,481,2.9801147394844107e-05
1.35,50.0,333.22103115012817,333.3789285319061,-0.4673842508412481,-0.7350228162518947,791,2.9817240917830583e-05
1.5,20.0,280.0410831099576,280.43582656440253,-0.44284305341911784,-0.7870376224348508,355,2.9946656764318935e-05
1.5,50.0,280.29218803681806,280.450085418596,-0.4428430520911405,-0.7870392129332987,403,2.9608194744266952e-05
2.0,20.0,208.68408248484346,209.0788259392884,-0.39614681141536684,-1.0765476912700427,329,2.9936951042121364e-05
2.0,50.0,208.91787666489802,209.075774046676,-0.3961468293857848,-1.0765220206347266,400,2.9964353633387493e-05
2.0,100.0,208.99617833201404,209.07512702290302,-0.3961468320486686,-1.076518216134755,346,2.9302896210946145e-05
