scenario,sigma_xl,sigma_hm,observations,max_algebraic_identity_residual,max_dynamic_path_residual,max_static_equilibrium_residual,max_terminal_condition_residual,minimum_monopoly_soc_margin_on_path,minimum_monopoly_soc_margin_full_domain,minimum_consumption_share,minimum_investment_share,minimum_inference_share,minimum_research_resource_share,minimum_ai_share,maximum_ai_share,minimum_human_research_share,maximum_human_research_share,maximum_inverse_demand_elasticity,household_tvc_log_change,developer_tvc_log_change,terminal_capital_to_consumption,terminal_shadow_capability_to_consumption
equilibrium_sigma_0_75,0.75,2.0,601,6.467659741105081e-12,7.480180932474545e-08,1.4071970255713495e-09,5.264368052593227e-09,0.07881207795863282,0.07420167926885671,0.7372132616067435,0.18082311229167253,0.0009401725416123574,9.80659564578773e-06,0.336383609261135,0.46192217708808114,0.0001582497070329955,0.013785276378082904,0.9958284453746613,-16.918762969640618,-20.616555441181575,4.732340548724748,0.03278650822970997
equilibrium_sigma_1_00,1.0,2.0,1001,1.8474111129762605e-13,1.4688642941722979e-05,1.3210765814619663e-11,1.3877787807814457e-15,0.11604399999999992,0.11604399999999992,0.7261175074779256,0.2289019421061446,0.01795599999999984,0.00012357163069518905,0.2,0.2,7.1163518041415505e-06,0.005105051879923537,0.8660000000000001,-55.97817994984317,-56.17840278480686,4.639052313432093,0.6716344544936496
equilibrium_sigma_1_00_hm_1_00,1.0,1.0,1001,2.3092638912203256e-13,1.513478549761832e-05,3.5482727867020003e-13,1.4643841694805815e-13,0.11604399999999992,0.11604399999999992,0.7254125596843045,0.22871644857471113,0.017955999999999712,0.00034816243275236937,0.2,0.2,0.0012048662757252466,0.004972856209497596,0.8660000000000001,-55.97145002703812,-56.13994469724301,4.672784285056449,0.703782095473085
equilibrium_sigma_1_35,1.35,2.0,335,5.88576409832342e-11,8.394375933917786e-06,1.3517365005100146e-10,6.963318810448982e-13,0.19863409828453116,0.1920448084985791,0.26289929980903914,0.20279341292687023,0.01482429241986923,0.00012268421554657066,0.07615436378610067,0.9907011542416276,0.0011806885396578027,0.12884294380330324,0.7094610409485979,-13.293636787886632,-11.961112429483736,0.07607475567461601,0.22996604594165065
equilibrium_sigma_1_50,1.5,2.0,282,4.097697181570936e-11,2.007821713334579e-06,9.828848845927496e-11,1.6342482922482304e-13,0.22110679590463958,0.22110002244433227,0.26289929980903914,0.20394093387810724,0.01294075604986185,0.00010854827270262238,0.05489958025414499,0.9969675237391026,0.0009622687616264963,0.18404225139232014,0.6481838079811045,-11.787087982848528,-10.343981801555707,0.07607475567461519,0.2299660459416478
equilibrium_sigma_2_00,2.0,2.0,210,8.920750249608034e-11,1.6415496763233506e-05,1.9872814505106362e-10,5.826450433232822e-13,0.21780305061459174,0.21780303030404002,0.2628992998090401,0.20437855087504983,0.0070490341326061665,6.103656116835751e-05,0.02089347031848987,0.999975613310333,0.0004730576297189474,0.9067552265065348,0.4964481100458567,-10.437250684604082,-18.286679934687292,0.038037377837307124,0.11498302297082266
