population_growth,sigma_xl,investment_share,minimum_wage_change_pct,minimum_wage_growth_pct
0.03,3.1,0.15,-9.18325852397659,-0.5118638316862267
0.03,4.0,0.15,-9.01708052044251,-0.4731603115513655
0.03,6.0,0.15,-11.612707441807702,-0.43209719492050547
0.03,8.0,0.15,-15.287372016626644,-0.6651761623818975
0.03,10.0,0.15,-18.158628690900848,-1.02539916384492
0.03,3.1,0.2,0.0,0.04929729484209333
0.03,4.0,0.2,0.0,0.032078895860737644
0.03,6.0,0.2,0.0,-0.21144628130072007
0.03,8.0,0.2,-4.658873828249732,-0.7609730816798499
0.03,10.0,0.2,-9.138336673295743,-1.2425601398681652
0.03,3.1,0.23343234323432344,0.0,0.10101241284107276
0.03,4.0,0.23343234323432344,0.0,0.06454419657830335
0.03,6.0,0.23343234323432344,0.0,-0.19884226213943146
0.03,8.0,0.23343234323432344,0.0,-0.8283549898756792
0.03,10.0,0.23343234323432344,-4.289709781911288,-1.4073891008728912
