scenario,sigma_xl,last_year,minimum_capability_growth_pct,minimum_capability_growth_year,minimum_output_per_capita_growth_pct,minimum_output_per_capita_growth_year,minimum_consumption_per_capita_growth_pct,minimum_consumption_per_capita_growth_year,minimum_capital_growth_pct,minimum_capital_growth_year,terminal_capability_growth_pct,terminal_output_per_capita_growth_pct,terminal_consumption_per_capita_growth_pct,terminal_capital_growth_pct,terminal_wage_growth_pct,terminal_real_wage_index,terminal_ai_services_per_worker_index,initial_human_to_automated_research_ratio,terminal_human_to_automated_research_ratio,terminal_automated_research_per_capita_index,terminal_ai_production_share_pct,terminal_automated_research_share_pct,terminal_human_research_population_pct,terminal_production_labor_share_pct,terminal_aggregate_labor_share_pct,terminal_consumption_share_pct,terminal_net_capital_return_pct,terminal_capital_output_ratio,terminal_euler_gap_pct_points
complements,0.75,200.0,1.5033092733264222,200.0,0.05314910665943466,0.0,0.10866325061460458,0.0,0.07216126424701638,0.0,1.5033092733264222,0.10572716952226384,0.11143625458793771,1.3288166690620509,0.12106908106197523,1.9140644838691232,4.122635506838797,60.858233733336654,16.61141011034777,1.7522118154258057,34.58729951440242,11.6697344492833,8.108580882199746,43.82650932535037,47.69379964539121,75.8285349964596,3.9469585570410652,3.6884042537594754,-0.16447769754687272
cobb_douglas,1.0,200.0,1.511996553743164,200.0,0.39402644015997906,200.0,0.3940264401604998,200.0,1.600649208425553,200.0,1.511996553743164,0.39402644015997906,0.3940264401604998,1.600649208425553,0.382217461283485,2.4549248155145826,83.8195163979336,19.507251111546797,3.2368286152689016,2.565170350068684,20.0,23.034995608014267,3.0866138297530505,53.599999999999994,55.30711712605038,74.35023968125152,4.331244370853543,3.536505817281628,-0.06278206930695682
substitutes,2.0,196.0,1.9124340000560347,104.0,0.3801643140900934,44.5,0.3120347399060752,49.0,1.644066876243297,65.0,11.551058329966697,70.98948672911445,70.13119206061037,54.03098414159451,30.712194911540713,36.958995943143805,18304912.75445285,7.3153012018843055,0.0053553927533885794,3203.3076854209926,98.93007659783434,88.03539676080474,8.831159322353004,0.7168486794509863,0.7862869310640965,31.856688717587428,78.45126685024792,0.39544037191452136,4.320074789637529
