scenario,sigma_xl,last_year,initial_human_to_automated_ratio,final_human_to_automated_ratio,initial_automated_research_per_capita,final_automated_research_per_capita,initial_human_research_population_pct,minimum_human_research_population_pct,minimum_human_research_population_year,final_human_research_population_pct,final_capability_growth_pct
research_sigma_xl_cd,1.0,180.0,19.507251111546797,3.776685317337665,0.003717460661616819,0.008806295305562607,7.251743862345619,3.325860618065789,180.0,3.325860618065789,1.5375803758298408
research_sigma_xl_substitutes,2.0,180.0,7.3153012018843055,0.2948145031192299,0.005147871974329568,0.1616616337265055,3.7658234040959617,3.1975309119572866,65.0,4.766019422052267,2.9003140312268467
research_sigma_xl_high,2.25,178.0,6.958007687568126,0.017948405460038185,0.005243971878811912,10.842054546549537,3.648759664616436,3.109356926666217,54.0,19.45975910213215,10.718036227033274
