scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,singularity_time_estimate,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
equilibrium_sigma_1.35,0.0,333.22103115012817,0.9200248718261719,0.0,0.0,-0.4673842508412481,-0.7350228162518947,-0.06914801353433497,-0.5476544757011227,-4.280636077616987,-4.280636077616987,-6.741657502492558,-0.0011813861014970649,-9.07504487070702,-7.293195642275189,-0.06914801353433497,-0.4673842508412481,0.9200248718261719,0.06660414601605433,0.003695026253287055,0.04472177104413665,0.03272177104413665,0.041469080053180216,0.03161501103909892,0.019615011039098917,0.01902618161075953,0.37188415467920194,0.009935960451110082,0.12272177104413665,0.07272177104413664,0.0011806885396603206,0.07615436378610067,0.7094610409485979,0.19863409828453116,0.14359668053102673,0.014824292419869217,0.0001226842155468326,0.31354964859054146,0.6715033747740424,1.0,0.6189765762633125,0.6197082587022952,0.19108294310987706,21.229377454141012,-1.1700196367314675e-11,5.551115123125783e-16,1.1601830607332886e-13,0.0,0.0,0.0,0.0,0.0,0.0
equilibrium_sigma_1.35,1.0,332.22103115012817,0.9831354438596437,0.003733639288815226,0.012,-0.4246930322428028,-0.6955384650377606,-0.038762393246859206,-0.5298288280596655,-4.238515727767326,-4.242249367056141,-6.698334526812688,0.010781000805328803,-8.996070599744122,-7.2447140168668716,-0.0507623932468592,-0.4366930322428028,0.9711354438596437,0.05981257272802776,0.0037715935978375748,0.04077070877015123,0.02877070877015123,0.037607299728360355,0.029224913586367585,0.017224913586367584,0.016692225626169233,0.35991123869742797,0.010479232633822522,0.11877070877015124,0.06877070877015123,0.0012182565169580565,0.07670627583970685,0.7092343481828759,0.19867922525762596,0.14580277656444665,0.014943378696484932,0.00012879247028832632,0.30511015195150815,0.6798176768817187,1.0000000000000002,0.6186067951873964,0.6193613361715392,0.18731936780697014,22.935600337104333,-1.1864044035386767e-11,1.1102230246251565e-16,1.7186252421197423e-13,0.0,0.0,-2.0422077126602822e-08,4.499062407348209e-11,-1.115595765766031e-08,-1.0979474822370161e-08
equilibrium_sigma_1.35,2.0,331.22103115012817,1.0399995711072587,0.0075419590479842815,0.024,-0.38564542968903,-0.6596151911634553,-0.010575378446311345,-0.5141500427862984,-4.199286669833522,-4.206828628881506,-6.6574440560394725,0.02274524725942242,-8.923822558424035,-7.199220795712423,-0.034575378446311346,-0.40964542968903,1.0159995711072587,0.054071963933632644,0.003844473470180189,0.03741308142750454,0.02541308142750454,0.034325806803778385,0.02720404392780873,0.01520404392780873,0.01471900183069863,0.3497366103863774,0.010992482216639954,0.11541308142750455,0.06541308142750454,0.0012539658675023802,0.07720839541248135,0.709028107217614,0.19872024802926191,0.14776634454235815,0.015051866877927369,0.00013459407245096255,0.2975724040404503,0.6872411350091713,0.9999999999999999,0.6182703750736375,0.6190466384286191,0.18413744745054403,24.57375651973338,-1.2010048337784962e-11,-4.440892098500626e-16,2.4014124022642136e-13,0.0,0.0,2.9669762501016717e-08,-7.345557018548221e-11,1.633239582465862e-08,1.605049407271686e-08
equilibrium_sigma_1.35,3.0,330.22103115012817,1.0915607237594036,0.011421516523666669,0.036000000000000004,-0.34970685094650855,-0.6267305961322385,0.015744616039523263,-0.5002942032652506,-4.16250227007641,-4.173923786600077,-6.618635851652691,0.034711132672751464,-8.857302674995001,-7.156293482194575,-0.02025538396047674,-0.3857068509465086,1.0555607237594036,0.049177036963201026,0.003914141813593497,0.034536379954278405,0.022536379954278405,0.031513939656032525,0.025480506631869737,0.013480506631869737,0.013036197433202723,0.34101933319478306,0.011477771001791917,0.11253637995427841,0.06253637995427841,0.0012880370944798546,0.07766807983850123,0.7088392960959637,0.1987577763740683,0.1495197600110953,0.015151308173941383,0.00014011496538274797,0.29082526211660026,0.6938833147440756,1.0,0.6179623865082041,0.6187593715312936,0.18143282511063322,26.150796217144546,-1.2140250610359615e-11,4.440892098500626e-16,3.1963320878958257e-13,0.0,0.0,-2.3588480072000984e-08,6.452673898676986e-11,-1.3077586104304206e-08,-1.2837334924242771e-08
equilibrium_sigma_1.35,4.0,329.22103115012817,1.1385831844825998,0.015369307289886242,0.048,-0.31644126508262177,-0.5964591622214647,0.04046639596803764,-0.48799878259377005,-4.127800733083502,-4.143170040373389,-6.581622629061419,0.046678465786984404,-8.795698611060589,-7.115584163362365,-0.007533604031962363,-0.36444126508262176,1.0905831844825997,0.04497188935258374,0.0039810020836579686,0.03205451852274297,0.02005451852274297,0.02908713899614022,0.023999658737006158,0.011999658737006157,0.011590386244375583,0.333498540978009,0.011937089955426453,0.11005451852274298,0.060054518522742975,0.0013206613712166168,0.07809135714708766,0.7086654388606961,0.1987923092110988,0.15109003699942114,0.015242976546543866,0.00014537920722745365,0.284774527271009,0.6998371169752198,1.0,0.6176787907114512,0.6184956139770976,0.1791247050565328,27.67287444720644,-1.2257899556500362e-11,-1.1102230246251565e-16,4.0889513996944515e-13,0.0,0.0,8.595394618282626e-09,-2.6014588920542092e-11,4.79817254678272e-09,4.703531831379282e-09
equilibrium_sigma_1.35,5.0,328.22103115012817,1.1816939725240698,0.019382700320331764,0.06,-0.2854886941018261,-0.5684500294502577,0.06381064028202282,-0.4770483034828187,-4.094885252473495,-4.114267952793827,-6.546166015739725,0.058647079421371165,-8.738341039516792,-7.076803113980402,0.003810640282022826,-0.3454886941018261,1.1216939725240698,0.04133600616222427,0.004045399672092257,0.029900480151146998,0.017900480151146998,0.026979661355568674,0.022719230051704287,0.010719230051704286,0.010340249346485475,0.3269711519731727,0.012372344311354333,0.107900480151147,0.057900480151147,0.0013520057941728743,0.0784832247452812,0.7085044828731418,0.1988242596301369,0.1524999383394832,0.01532793048273869,0.00015040909445907083,0.27933964697203073,0.7051820134507716,1.0000000000000002,0.6174162394206615,0.6182521198689841,0.17714949441757283,29.145460666042784,-1.2366080381909228e-11,0.0,5.087041898832467e-13,0.0,0.0,8.650022920164702e-10,-2.876551427610785e-12,4.860220524649517e-10,4.758043230246312e-10
equilibrium_sigma_1.35,6.0,327.22103115012817,1.2214132046184976,0.02345938555284534,0.07200000000000001,-0.2565487999877085,-0.542410809179711,0.08596051999841531,-0.46726394846122166,-4.063509632627414,-4.08696901818026,-6.512066235295133,0.07061682642526897,-8.684672549028788,-7.039706705426842,0.0139605199984153,-0.32854879998770853,1.1494132046184975,0.03817476702531025,0.004107632777775023,0.0280212949659572,0.016021294965957198,0.0251396083005504,0.021606010362495986,0.009606010362495986,0.009253331242076168,0.3212766514119915,0.012785344841345378,0.1060212949659572,0.0560212949659572,0.0013822174310504872,0.07884786836305067,0.7083547088834729,0.19885397321333917,0.15376880877240157,0.015407058380373928,0.00015522528121923179,0.27445121404804074,0.7099865022903662,1.0,0.6171719281967559,0.6180261747483387,0.17545641258792477,30.573429330147288,-1.2464456550231873e-11,5.551115123125783e-16,6.182832024137497e-13,0.0,0.0,-9.468308616311649e-08,3.3984256554708825e-10,-5.351590155744379e-08,-5.234486368660418e-08
equilibrium_sigma_1.35,7.0,326.22103115012817,1.2581764682629362,0.027597331128004363,0.084,-0.22936871070506032,-0.5180955915625727,0.1070695284931717,-0.45849590026524056,-4.033467691441736,-4.06106502256974,-6.479154403274427,0.08258757652677663,-8.634224620615882,-7.00408834473606,0.02306952849317169,-0.31336871070506034,1.174176468262936,0.03541285703135004,0.004167960708474702,0.026374533603415094,0.014374533603415094,0.023525458613108004,0.020633548532544843,0.008633548532544843,0.008303787351893188,0.31628646546489425,0.01317780292099574,0.1043745336034151,0.0543745336034151,0.0014114264726404295,0.07918882515868202,0.7082146640366747,0.1988817416682447,0.15491320875013442,0.01548111242901729,0.00015984688828618417,0.27004904211062525,0.7143099985720713,1.0,0.616943487143683,0.6178154882790474,0.17400439374167115,31.9611347652662,-1.255470380434609e-11,6.661338147750939e-16,7.371880883511039e-13,0.0,0.0,-3.909929779943866e-08,1.5239846710979332e-10,-2.2228754836817188e-08,-2.171569365647108e-08
equilibrium_sigma_1.35,8.0,325.22103115012817,1.2923516798358163,0.031794747831419945,0.096,-0.20373378861077124,-0.4952958618328298,0.12726738562817724,-0.45061756776605183,-4.004585274087427,-4.036380021918847,-6.447286648199232,0.09455921379918247,-8.586600200542055,-6.969771533735069,0.03126738562817724,-0.29973378861077127,1.1963516798358163,0.03298958826663888,0.004226610394133102,0.024925802056162884,0.012925802056162883,0.022103593162230473,0.019780517755974003,0.007780517755974003,0.0074707840111432056,0.31189636986716024,0.013551329231350967,0.10292580205616289,0.05292580205616289,0.0014397487666793789,0.07950910801608728,0.7080831108185774,0.19890781320391815,0.15594740782494992,0.015550734487539299,0.00016429161216527448,0.2660806482037126,0.718204325696583,1.0000000000000002,0.6167288976292215,0.6176181125450371,0.17275985091723878,33.31247507709513,-1.2638390334274163e-11,2.220446049250313e-16,8.643641358219156e-13,0.0,0.0,2.8890756453847644e-08,-1.2162358706963028e-10,1.651607582642267e-08,1.6116079901151714e-08
equilibrium_sigma_1.35,9.0,324.22103115012817,1.3242519408251676,0.03605005934863761,0.108,-0.17946054747353507,-0.47383353851074367,0.14666454307179094,-0.4435211808135926,-3.9767141622193,-4.012764221567938,-6.416339574434567,0.106531634617473,-8.541460352872198,-6.936604494268077,0.038664543071790944,-0.28746054747353506,1.2162519408251675,0.030855520113489396,0.004283781533159099,0.023646921742333717,0.011646921742333716,0.02084649845666362,0.019029533911418817,0.007029533911418816,0.006737342184703898,0.30802097497676884,0.013907434496894846,0.10164692174233372,0.05164692174233372,0.0014672878615413954,0.07981130128409905,0.7079589877318274,0.19893240051413566,0.15688377195746384,0.015616476055888994,0.000168575827266924,0.26250004604260335,0.7217149020742408,1.0,0.6165264281396535,0.6174323791749396,0.17169503641214545,34.630946364916795,-1.2715252462047744e-11,-1.6653345369377348e-16,1.0006995232458848e-12,0.0,0.0,4.921939286348098e-08,-2.2266756927874498e-10,2.8285002739297793e-08,2.7569574498342853e-08
