scenario,time,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_effective_research,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
equilibrium_sigma_1_00_hm_1_00,1622.0,26.813401344048305,25.345298312340038,19.464,25.27164615607728,-0.4249383423244164,25.56127826045773,24.94456092077879,5.478642395256735,-23.335382833308806,-25.345298312340038,46.88674561473531,21.541447302395273,14.160237226472152,19.45901474728966,19.019840413322655,15.861098341869821,0.016346064794301188,0.01738426597812989,0.016346065597910873,0.004346065597910873,-0.001038203056759078,0.016346065793610087,0.004346065793610087,0.004346065878357841,0.09434606559791088,0.04434606559791088,0.004972846961868789,0.9950271530381312,0.2,0.8660000000000001,0.11604399999999992,0.34999999999999815,0.017955999999999903,0.0014424130378261118,0.23206268585093176,0.7485389011112422,1.0,0.5359999999999999,0.5386787670702496,7.4626865671642255,0.11604400000000008,0.5268084387034196,0.15061304095589648,0.007753559995338597,6.097278260457731,5.807646156077283,7.349401344048307,3.552713678800501e-15,-4.440892098500626e-16,-8.881784197001252e-15,-9.992007221626409e-16,0.0,-5.953224024857207e-14,-2.036079638223498e-13,-5.559788740505667e-14,1.3403644513743096e-13
equilibrium_sigma_1_00_hm_1_00,1624.0,26.84609347383827,25.38006684498435,19.488,25.304338287460595,-0.42701474889229063,25.593970392230204,24.977253053527726,5.4873345271972305,-23.370151365953124,-25.38006684498435,46.9542062791521,21.574139434167755,14.184237260092255,19.48301474712164,19.052532578883255,15.888140621669102,0.01634606499518171,0.0173842666645331,0.016346065784952922,0.004346065784952922,-0.0010382035100259604,0.016346065977299595,0.004346065977299595,0.004346066060587184,0.09434606578495293,0.044346065784952926,0.004972847129056414,0.9950271528709436,0.2,0.8660000000000001,0.11604399999999992,0.34999999999999853,0.01795600000000003,0.0014424130865625462,0.23206268609349723,0.7485389008199403,1.0000000000000002,0.5359999999999999,0.5386787671607596,7.462686567164172,0.11604399999999995,0.5268084357026991,0.15061304039659085,0.0076864570850114925,6.105970392230205,5.816338287460596,7.35809347383827,0.0,4.440892098500626e-16,-5.329070518200751e-15,0.0,0.0,-2.837660662002861e-14,-1.0177622633555927e-13,-2.770353391134961e-14,6.705053179345555e-14
equilibrium_sigma_1_00_hm_1_00,1626.0,26.878785604026632,25.41483537898995,19.512,25.33703041921485,-0.42909115635909156,25.626662524366928,25.00994518662409,5.496026659499083,-23.404919899958724,-25.41483537898995,47.02166694529443,21.60683156630448,14.208237293133223,19.50701474695651,19.08522474422607,15.915182901015713,0.016346065192604217,0.017384267339112507,0.01634606596877316,0.004346065968773159,-0.0010382039554847552,0.01634606615785472,0.0043460661578547215,0.004346066239707902,0.09434606596877317,0.04434606596877316,0.004972847293364094,0.9950271527066359,0.2,0.8660000000000001,0.11604399999999992,0.3499999999999973,0.01795600000000003,0.0014424131344594488,0.23206268633189198,0.7485389005336486,1.0,0.5359999999999999,0.5386787672497116,7.462686567164172,0.11604399999999995,0.5268084327536646,0.15061303984691887,0.00761993491169138,6.114662524366928,5.825030419214851,7.3667856040266315,0.0,0.0,-1.1546319456101628e-14,-1.2212453270876722e-15,0.0,3.0052349497822206e-14,1.01797043017271e-13,2.7738228380869145e-14,-6.734196533741965e-14
equilibrium_sigma_1_00_hm_1_00,1628.0,26.91147773460652,25.44960391433339,19.536,25.369722551333666,-0.4311675647093385,25.659354656861623,25.0426373200619,5.504718792156062,-23.439688435302163,-25.44960391433339,47.08912761313256,21.63952369879917,14.232237325605022,19.531014746794227,19.117916909354847,15.94222517991745,0.01634606538662675,0.017384268002071546,0.016346066149427567,0.004346066149427567,-0.0010382043932694596,0.01634606633526836,0.004346066335268361,0.004346066415712002,0.09434606614942757,0.04434606614942757,0.004972847454841392,0.9950271525451586,0.2,0.8660000000000001,0.11604399999999992,0.34999999999999687,0.01795599999999997,0.0014424131815312757,0.23206268656618143,0.7485389002522873,1.0,0.5359999999999999,0.5386787673371308,7.462686567164199,0.11604400000000001,0.5268084298554291,0.15061303930671632,0.007553988449505053,6.123354656861622,5.833722551333665,7.37547773460652,3.552713678800501e-15,-3.774758283725532e-15,-1.687538997430238e-14,-1.3322676295501878e-15,0.0,5.772465838660423e-14,2.0368429165529278e-13,5.474440345487608e-14,-1.3514406607684215e-13
equilibrium_sigma_1_00_hm_1_00,1630.0,26.944169865571084,25.484372450991234,19.56,25.40241468381065,-0.43324397392754954,25.692046789708,25.07532945383514,5.513410925161931,-23.474456971960006,-25.484372450991234,47.15658828263678,21.67221583164555,14.256237357517637,19.555014746634736,19.150609074273333,15.969267458382124,0.016346065577303948,0.01738426865361409,0.016346066326969465,0.0043460663269694645,-0.0010382048235164296,0.016346066509569823,0.004346066509569823,0.004346066588628794,0.09434606632696947,0.04434606632696947,0.004972847613537981,0.995027152386462,0.2,0.8660000000000001,0.11604399999999992,0.3499999999999973,0.01795599999999997,0.0014424132277925086,0.2320626867964255,0.7485388999757819,0.9999999999999999,0.5359999999999999,0.5386787674230439,7.462686567164199,0.11604400000000001,0.5268084270071092,0.1506130387758157,0.007488612716073819,6.132046789708003,5.842414683810652,7.384169865571085,3.552713678800501e-15,6.661338147750939e-16,-1.0658141036401503e-14,0.0,0.0,0.0,0.0,0.0,0.0
equilibrium_sigma_1_00_hm_1_00,1632.0,26.976861996913556,25.519140988940393,19.584,25.435106816639514,-0.4353203839984816,25.724738922899903,25.108021587937955,5.522103058510577,-23.509225509909168,-25.519140988940393,47.224048953777846,21.704907964837453,14.280237388880883,19.57901474647799,19.18330123898523,15.996309736417398,0.016346065764699907,0.01738426929394049,0.01634606650145582,0.0043460665014558204,-0.001038205246356276,0.01634606668087546,0.004346066680875459,0.004346066758571965,0.09434606650145583,0.044346066501455825,0.004972847769502613,0.9950271522304974,0.2,0.8660000000000001,0.11604399999999992,0.34999999999999853,0.01795600000000003,0.0014424132732573677,0.23206268702270832,0.7485388997040342,1.0,0.5359999999999999,0.5386787675074795,7.462686567164172,0.11604399999999995,0.5268084242078215,0.15061303825405536,0.0074238027721360905,6.140738922899903,5.851106816639515,7.392861996913556,0.0,-6.661338147750939e-16,-7.105427357601002e-15,-1.6653345369377348e-15,0.0,-5.295069938071606e-14,-1.8673604329499938e-13,-5.0459636469213365e-14,1.2358083306684975e-13
equilibrium_sigma_1_00_hm_1_00,1634.0,27.009554128627574,25.553909528159085,19.608,25.467798949814323,-0.4373967949077491,25.757431056431503,25.14071372236478,5.530795192196219,-23.54399404912786,-25.553909528159085,47.29150962652814,21.737600098369054,14.30423741970403,19.60301474632395,19.215993403494014,16.023352014030518,0.016346065948870267,0.017384269923239985,0.016346066672937594,0.004346066672937594,-0.0010382056619144125,0.016346066849283858,0.004346066849283858,0.004346066925641878,0.0943460666729376,0.0443460666729376,0.0049728479227814275,0.9950271520772186,0.2,0.8660000000000001,0.11604399999999992,0.3499999999999973,0.01795600000000003,0.0014424133179392691,0.23206268724509918,0.7485388994369616,1.0000000000000002,0.5359999999999999,0.5386787675904586,7.462686567164172,0.11604399999999995,0.5268084214567349,0.15061303774127913,0.007359553721172834,6.149431056431503,5.859798949814323,7.4015541286275734,-3.552713678800501e-15,0.0,-1.1546319456101628e-14,1.1102230246251565e-15,0.0,-2.5868196473766147e-14,-9.342873696915888e-14,-2.5018181970537512e-14,6.201441270226038e-14
equilibrium_sigma_1_00_hm_1_00,1636.0,27.04224626070684,25.588678068625814,19.632,25.500491083329212,-0.43947320664115974,25.790123190297038,25.173405857110122,5.539487326213145,-23.578762589594586,-25.588678068625814,47.3589703008604,21.770292232234585,14.328237449996218,19.62701474617256,19.248685567803125,16.050394291228628,0.01634606612986779,0.017384270541699155,0.016346066841465022,0.004346066841465022,-0.0010382060703143375,0.016346067014814558,0.004346067014814558,0.004346067089858963,0.09434606684146503,0.044346066841465026,0.004972848073419869,0.9950271519265801,0.2,0.8660000000000001,0.11604399999999992,0.34999999999999687,0.01795599999999997,0.00144241336185149,0.2320626874636589,0.7485388991744896,0.9999999999999999,0.5359999999999999,0.5386787676720102,7.462686567164199,0.11604400000000001,0.5268084187530391,0.15061303723733555,0.007295860709039388,6.158123190297037,5.868491083329211,7.410246260706838,3.552713678800501e-15,0.0,-1.3322676295501878e-14,6.661338147750939e-16,0.0,2.848415947553917e-14,9.333506190145613e-14,2.6079832737835318e-14,-6.120104423246175e-14
equilibrium_sigma_1_00_hm_1_00,1638.0,27.07493839314506,25.623446610319093,19.656,25.533183217178333,-0.4415496191845205,25.82281532449076,25.206097992168498,5.548179460555655,-23.613531131287868,-25.623446610319093,47.426430976747405,21.802984366428312,14.35223747976659,19.651014746023773,19.281377731916013,16.077436568018882,0.01634606630774707,0.017384271149504884,0.016346067007089786,0.004346067007089786,-0.0010382064716790151,0.016346067177471113,0.004346067177471113,0.004346067251223218,0.09434606700708979,0.04434606700708979,0.0049728482214634285,0.9950271517785366,0.2,0.8660000000000001,0.11604399999999992,0.34999999999999815,0.01795600000000003,0.0014424134050072927,0.2320626876784515,0.7485388989165411,1.0,0.5359999999999999,0.5386787677521571,7.462686567164172,0.11604399999999995,0.52680841609592,0.15061303674207424,0.0072327189235994625,6.166815324490763,5.8771832171783345,7.418938393145062,0.0,-6.661338147750939e-16,-8.881784197001252e-15,-1.1102230246251565e-16,0.0,5.5507681784305873e-14,1.8667012380291226e-13,5.116393420045995e-14,-1.2310096518530766e-13
equilibrium_sigma_1_00_hm_1_00,1640.0,27.107630525935953,25.658215153217416,19.68,25.565875351355825,-0.4436260325236374,25.855507459006922,25.238790127534415,5.556871595218038,-23.648299674186188,-25.658215153217416,47.493891654161885,21.83567650094447,14.376237509024294,19.67501474587755,19.3140698958361,16.10447884440842,0.016346066482563315,0.017384271746843757,0.01634606716986211,0.004346067169862109,-0.0010382068661321311,0.01634606733727395,0.00434606733727395,0.004346067409755072,0.09434606716986212,0.04434606716986211,0.004972848366957545,0.9950271516330425,0.2,0.8660000000000001,0.11604399999999992,0.3499999999999977,0.01795599999999997,0.0014424134474199082,0.23206268788954643,0.7485388986630338,1.0,0.5359999999999999,0.538678767830924,7.462686567164199,0.11604400000000001,0.526808413484554,0.15061303625534006,0.007170123594361854,6.175507459006923,5.885875351355825,7.427630525935953,3.552713678800501e-15,-1.1102230246251565e-15,-1.0658141036401503e-14,-1.3322676295501878e-15,0.0,0.0,0.0,0.0,0.0
