scenario,sigma_xl,terminal_output_capital_ratio,terminal_time,estimated_singularity_time,year_output_per_capita_growth_exceeds_5_percent,initial_consumption_share,initial_capability_growth,minimum_wage_growth,terminal_ai_share,terminal_automated_research_share,terminal_capability_growth_to_z,target_capability_growth_to_z,terminal_consumption_share,target_consumption_share,max_rms_residual,max_abs_resource_residual,max_abs_monopoly_foc_log_error,max_abs_research_compute_foc_log_error,max_abs_research_human_foc_log_error,max_abs_labor_market_error,max_abs_capital_law_residual,max_abs_capability_law_residual,max_abs_consumption_path_residual,max_abs_shadow_costate_residual,minimum_monopoly_soc_margin
equilibrium_sigma_1_35,1.35,49.999999999999304,333.2210310848803,333.37892846665824,297.0,0.671503374774042,0.0036950262532835106,0.0007017973185918791,0.9907011542416276,0.9998688789816723,0.06615234404282104,0.06238701464035648,0.26289929980903914,0.262899299809039,2.962477512191199e-05,3.3306690738754696e-16,1.3517365005100146e-10,8.881784197001252e-16,8.919698313292201e-12,2.220446049250313e-16,5.130813219400565e-06,1.6604185760216161e-06,8.394375933917786e-06,3.5528006053775485e-06,0.19863409828453116
equilibrium_sigma_1_50,1.5,49.99999999999984,280.2921879990614,280.45008538083937,247.0,0.6631324613117556,0.003396819860790938,0.0005361559157757156,0.9969675237391026,0.9993654422836362,0.06319682457972975,0.06238701464035648,0.26289929980903914,0.262899299809039,2.984534466364213e-05,2.220446049250313e-16,9.828848845927496e-11,1.7763568394002505e-15,9.289513602794841e-12,2.220446049250313e-16,1.24168283077708e-06,3.813588249634847e-07,2.007821713334579e-06,8.623327945045389e-07,0.22110679590463958
equilibrium_sigma_2_00,2.0,100.00000000000058,208.9961787558852,209.0751274467742,180.0,0.6513425878961042,0.002502821785194879,0.00028496456971893735,0.999975613310333,0.9981083489977141,0.06174709683997633,0.06238701464035648,0.2628992998090401,0.262899299809039,2.97774474172526e-05,3.3306690738754696e-16,1.9872814505106362e-10,9.43689570931383e-16,1.3733458814613186e-12,2.220446049250313e-16,1.0117228908868015e-05,3.0965993524367796e-06,1.6415496763233506e-05,7.009097207522075e-06,0.21780305061459174
