sigma,time,output_effective_labor,output_effective_labor_growth,output_per_person_growth,wage_growth,wage_productivity,net_interest,labor_income_share,ai_revenue_output_share,capability_frontier_ratio,ai_service_price,consumption_effective_labor,capital_effective_labor,consumption_effective_labor_growth,capital_effective_labor_growth,ai_services_effective_labor_growth,inference_output_share,research_output_share,profit_output_share,inference_revenue_share,research_revenue_share,profit_revenue_share
1.5,122.875,23203.216101662358,0.037091411478893076,0.04709141147889308,0.03497023224536013,598.3644506110093,0.0867707281378068,0.02578799628419357,0.6442120037158063,0.9999512063002588,0.000139792075575098,7695.509734543231,55984.649769748336,0.036770728137806796,0.038569215816642015,0.03781918082692105,0.4232742483972367,2.824453573817081e-06,0.2209349308649958,0.6570418526134199,4.384354152865314e-06,0.3429537630324273
1.5,123.0,23311.00825734457,0.03706559531081822,0.04706559531081822,0.034952484354686286,600.2343647231335,0.086745493399156,0.025748966243620906,0.644251033756379,0.999951641906865,0.00013978784213610255,7730.950137259261,56255.109647154095,0.036745493399156004,0.03854012814846374,0.03779171743018427,0.4233125278895047,2.7988681155462355e-06,0.2209357069987588,0.6570614647233591,4.344375047762231e-06,0.34293419090159316
1.5,123.125,23419.22568601283,0.037039841246980926,0.04703984124698093,0.03493477954467082,602.1087882552274,0.08672031913896304,0.025710021173536827,0.6442899788264631,0.9999520733806465,0.00013978361861063238,7766.529286102473,56526.670834706834,0.03672031913896304,0.0385111128040534,0.03776432168937522,0.4233507255711945,2.773528152365109e-06,0.22093647972711622,0.6570810341366838,4.304782386056866e-06,0.34291466108093005
1.5,123.25,23527.869844774534,0.037014149073851914,0.047014149073851916,0.03491711766624792,603.9877302120212,0.0866952051513319,0.025671160806177488,0.6443288391938224,0.9999525007631349,0.0001397794049625503,7802.2476537105495,56799.337183627205,0.0366952051513319,0.0384821695289936,0.037736993364609825,0.42338884169497176,2.7484311982398553e-06,0.22093724906765244,0.6571005609879444,4.265572221908713e-06,0.34289517343983367
1.5,123.375,23636.942194877247,0.036988518578619026,0.04698851857861903,0.0348994985708604,605.8711996086325,0.08667015123136045,0.025632384875059724,0.6443676151249402,0.9999529240954214,0.00013977520115592945,7838.105714077928,57073.112556267166,0.03667015123136044,0.03845329806977026,0.037709732216885804,0.4234268765123074,2.723574793597688e-06,0.22093801503783922,0.6571200454110449,4.226740651870901e-06,0.3428757278483032
1.5,123.5,23746.444202808412,0.03696294954983586,0.04696294954983586,0.03488192211089256,607.759205489364,0.08664515717488337,0.025593693114587927,0.644406306885412,0.9999533434181616,0.0001397710071550095,7874.103942863377,57348.00082887361,0.03664515717488337,0.03842449817442372,0.0376825380087318,0.4234648302738632,2.698956505024292e-06,0.22093877765504374,0.6571394875394407,4.188283814398202e-06,0.34285632417674494
1.5,123.625,23856.37734029706,0.036937441777407244,0.046937441777407246,0.03486438813966036,609.651756927439,0.08662022277847654,0.02555508526005934,0.6444449147399406,0.9999537587715811,0.00013976682292419823,7910.242817390714,57624.00589159557,0.03662022277847654,0.0383957695925334,0.03765541050419161,0.42350270322949,2.6745739249726946e-06,0.2209395369365256,0.6571588875061422,4.15019788937584e-06,0.3428369622959684
1.5,123.75,23966.74308304386,0.036911995051824124,0.046911995051824126,0.03484689651090068,611.5488630029026,0.08659534783974808,0.025516561048111914,0.644483438951888,0.9999541701954794,0.0001397626484281159,7946.522816294154,57901.13164529763,0.03659534783974808,0.038367112074448505,0.037628349468055926,0.4235404956277883,2.6504246714839636e-06,0.2209402928994282,0.6571782454434899,4.112479097669759e-06,0.3428176420774125
1.5,123.875,24077.542910473534,0.036886609164000134,0.046886609164000136,0.03482944707866196,613.4505327982547,0.08657053215738657,0.025478120216802052,0.6445218797831979,0.9999545777292348,0.00013975848363160568,7982.944419450742,58179.3820009401,0.036570532157386565,0.03833852537112243,0.03760135466569698,0.42357820771602406,2.6265063879059417e-06,0.2209410455607859,0.6571975614831042,4.075123700671631e-06,0.34279836339319514
1.5,124.0,24188.778307227716,0.03686128390614339,0.04686128390614339,0.034812039697886016,615.3567754239301,0.08654577553081998,0.025439762505081075,0.6445602374949189,0.9999549814118092,0.00013975432849967678,8019.508108397746,58458.76088333065,0.036545775530819974,0.038310009234988056,0.03757442586394146,0.42361583974064737,2.602816742600798e-06,0.22094179493752888,0.6572168357561566,4.038127999823006e-06,0.3427791261158436
