sigma,time,output_effective_labor,output_per_person_growth,wage_growth,wage_productivity,net_interest,labor_income_share,ai_revenue_output_share,capability_frontier_ratio,consumption_effective_labor,capital_effective_labor,consumption_effective_labor_growth,capital_effective_labor_growth,inference_revenue_share,research_revenue_share,profit_revenue_share
1.5,241.25,62847.25568364648,0.04052961986119757,0.030467777440286614,986.8741446958388,0.08033335016413438,0.015702740461150062,0.6542972595388499,0.9995902389835126,20625.252011876106,159127.30202580596,0.03033335016413438,0.03122823210656534,0.6621095682259881,3.0463622925900576e-05,0.3378599681510861
1.5,241.66666666666669,63651.30405558411,0.04049062143009648,0.03044123122889564,995.320925793945,0.08029550770877524,0.015637086161263428,0.6543629138387365,0.9995980575359956,20887.421929434036,161209.93507536023,0.030295507708775232,0.031185900380856953,0.6621425586950873,2.9880950929765532e-05,0.33782756035398287
1.5,242.08333333333334,64464.59438167682,0.04045182547254297,0.030414822624424694,1003.8289294540702,0.08025785671851991,0.015571786948827757,0.6544282130511722,0.9996057252610943,21152.591633458556,163316.95209697625,0.03025785671851991,0.031143787114621922,0.6621753707371574,2.9309497917525265e-05,0.33779531976492505
1.5,242.5,65287.223715848355,0.04041323081419776,0.03038855084165104,1012.3985484184537,0.0802203961664636,0.015506840248327113,0.6544931597516728,0.9996132450784241,21420.792518732505,165448.61220272118,0.030220396166463603,0.031101891119329893,0.6622080056463648,2.8749048441282502e-05,0.33776324530519386
1.5,242.91666666666669,66119.29005056917,0.04037483628206372,0.030362415095939947,1021.0301776599441,0.08018312502941573,0.015442243509859873,0.65455775649014,0.9996206198516765,21692.056283701146,167605.17702857105,0.030183125029415725,0.03106021120592404,0.6622404647039998,2.8199391108803766e-05,0.33773133590489135
1.5,243.33333333333334,66960.89237405374,0.04033664071247852,0.030336414608575647,1029.724214896846,0.08014604228560916,0.01537799420510482,0.6546220057948952,0.9996278523893195,21966.414947355996,169786.91088389026,0.03014604228560916,0.03101874619282955,0.6622727491805186,2.7660318539909296e-05,0.33769959050094145
1.5,243.75,67812.13064844938,0.04029864294615921,0.030310548603470672,1038.481060282991,0.08010914691634376,0.015314089829541983,0.654685910170458,0.999634945445864,22243.900843177686,171994.08069577673,0.030109146916343754,0.030977494901076492,0.6623048603344094,2.713162727347524e-05,0.3376680080383172
1.5,244.16666666666669,68673.10580113374,0.040260841825253975,0.030284816305209072,1047.3011162391344,0.08007243790688372,0.015250527903484514,0.6547494720965155,0.9996419017229825,22524.546616952754,174226.95598738219,0.030072437906883714,0.030936456151405216,0.6623367994116776,2.6613117686940692e-05,0.3376365874706355
1.5,244.58333333333334,69543.91978392299,0.040223236201355844,0.030259216944391855,1056.184787979931,0.08003591424419144,0.015187305968107039,0.6548126940318929,0.9996487238701792,22808.385244241843,176485.8090327128,0.030035914244191442,0.03089562877229763,0.6623685676478666,2.6104593954248983e-05,0.3376053277581792
1.5,245.0,70424.67555126395,0.04018582493066472,0.03023374975442343,1065.13248320556,0.0799995749185005,0.015124421587575827,0.654875578412424,0.9996554144859802,23095.45002433557,178770.91480096642,0.0299995749185005,0.03085501159521132,0.6624001662669378,2.5605863958348205e-05,0.33757422786910385
1.5,245.41666666666669,71315.47705027845,0.04014860687086866,0.030208413969440684,1074.1446119202785,0.07996341892422716,0.015061872350135033,0.6549381276498649,0.9996619761189972,23385.774577720735,181082.55093160504,0.02996341892422716,0.030814603451510388,0.6624315964807769,2.511673921440938e-05,0.33754328678000867
1.5,245.83333333333334,72216.42928199224,0.04011158088919285,0.03018320882968213,1083.2215869711497,0.07992744525773575,0.014999655864199034,0.6550003441358009,0.999668411268568,23679.392864135243,183420.99789450373,0.029927445257735746,0.03077440318053428,0.6624628594911228,2.4637034829295137e-05,0.3375125034740478
1.5,246.25,73127.63827958946,0.04007474585767025,0.030158133578345896,1092.3638237418168,0.0798916529188478,0.014937769760393104,0.6550622302396069,0.9996747223858751,23976.33917655324,185786.53893442647,0.029891652918847794,0.03073440962493424,0.6624939564885589,2.416656941924691e-05,0.3374818769420218
1.5,246.66666666666669,74049.21109715913,0.04003810064987594,0.030133187459420112,1101.5717399579858,0.07985604091175912,0.01487621169268942,0.6551237883073106,0.999680911874957,24276.648138289314,188179.46004273795,0.029856040911759113,0.03069462162745374,0.6625248886519303,2.3705165036698447e-05,0.33745140618303304
1.5,247.08333333333334,74981.255872956,0.040001644148986985,0.030108369723059747,1110.8457562376748,0.07982060824284844,0.014814979334566348,0.6551850206654336,0.9996869820933194,24580.35472164217,190600.05012292464,0.029820608242848434,0.030655038039009812,0.6625556571502952,2.3252647131246874e-05,0.3374210902025736
1.5,247.5,75923.88180776408,0.03996537524316478,0.03008367962251797,1120.1862957874396,0.07978535392210305,0.014754070380959999,0.6552459296190399,0.9996929353529871,24887.494241925706,193048.600935357,0.029785353922103047,0.030615657714135443,0.6625862631419066,2.2808844472233087e-05,0.33739092801362114
1.5,247.91666666666669,76877.19915231667,0.039929292822158485,0.030059116411888846,1129.5937841948664,0.07975027696406485,0.014693482549446218,0.6553065174505537,0.9996987739214637,25198.10235419946,195525.4070655335,0.029750276964064848,0.030576479507625785,0.6626167077736589,2.237358907902984e-05,0.33736091863726203
1.5,248.33333333333334,77841.31927258657,0.03989339578536107,0.03003467935148176,1139.068649989857,0.07971537638566599,0.01463321357646881,0.6553667864235311,0.9997045000223161,25512.215072503826,198030.7660949912,0.029715376385665987,0.030537502282617125,0.6626469921829659,2.1946716183489557e-05,0.33733106110085065
1.5,248.75,78816.35462832754,0.039857683037322275,0.030010367704839072,1148.611324343883,0.07968065120759375,0.014573261219202067,0.6554267387807978,0.9997101158361628,25829.86876395264,200564.97854650693,0.02968065120759375,0.030498724906154677,0.662677117496818,2.1528064157133756e-05,0.33730135443902476
1.5,249.16666666666669,79802.41875910976,0.03982215348419446,0.029986180736373127,1158.222240849273,0.07964610045523175,0.014513623256777007,0.655486376743223,0.9997156235015844,26151.10014508027,203128.3478487648,0.02964610045523175,0.030460146245677507,0.662707084831173,2.1117474444803317e-05,0.3372717976943821
1.5,249.58333333333334,80799.62635166147,0.039786806041811666,0.02996211771675629,1167.9018360912899,0.07961172315655203,0.014454297486578345,0.6555457025134216,0.9997210251156821,26475.94630166819,205721.180512678,0.029611723156552028,0.0304217651771223,0.662736895292814,2.071479152854683e-05,0.33724238991565747
1.5,250.0,81808.09321863082,0.03975163963129766,0.029938177920001148,1177.6505493507862,0.07957751834339845,0.01439528172602109,0.6556047182739788,0.9997263227350057,26804.444682917914,208343.78607717456,0.029577518343398446,0.03038358058058082,0.6627665499784708,2.0319862859158408e-05,0.33721313015866994
1.5,250.41666666666669,82827.93628321873,0.03971665317541938,0.029914360621035432,1187.4688223703151,0.07954348505245228,0.014336573813814807,0.6556634261861851,0.9997315183764184,27136.633097401933,210996.4770701895,0.029543485052452273,0.030345591336689813,0.6627960499741538,1.993253879306348e-05,0.3371840174870532
1.5,250.83333333333334,83859.273648556,0.039681845606610935,0.029890665101055456,1197.357099936449,0.0795096223231483,0.014278171606332137,0.6557218283936678,0.9997366140176287,27472.549733485397,213679.56919041346,0.0295096223231483,0.03030779633468008,0.6628253963570161,1.95526725576228e-05,0.3371550509704263
1.5,251.25,84902.22457675655,0.03964721586274253,0.029867090644712917,1207.3158295865485,0.0794759291989036,0.014220072979301794,0.6557799270206981,0.9997416115980631,27812.233153593785,216393.38125381002,0.0294759291989036,0.03027019446819095,0.6628545901944806,1.918012018676235e-05,0.33712622968533257
1.5,251.66666666666669,85956.9094720994,0.03961276288332604,0.02984363653759061,1217.3454613613342,0.07944240472808219,0.01416227582910563,0.6558377241708943,0.9997465130196852,28155.722289759975,219138.23515084138,0.029442404728082183,0.030232784631508573,0.6628836325435863,1.8814740460978214e-05,0.33709755271595265
1.5,252.08333333333334,87023.44995245652,0.039578485617540564,0.029820302071557177,1227.4464483973993,0.0794090479619614,0.014104778069221453,0.6558952219307784,0.9997513201475045,28503.056464640104,221914.45603364587,0.029409047961961393,0.030195565727618064,0.6629125244527796,1.8456394874019477e-05,0.33706901915234644
1.5,252.5,88101.96882868635,0.03954438302011406,0.02979708654202827,1237.6192466382265,0.07937585795588985,0.014047577631832136,0.6559524223681678,0.9997560348103945,28854.275385893794,224722.37226344837,0.029375857955889845,0.030158536664126122,0.6629412669611213,1.8104947572374388e-05,0.3370406280913063
1.5,252.91666666666669,89192.59008633754,0.039510454047422726,0.029773989245371002,1247.8643145734254,0.0793428337702602,0.013990672469153606,0.6560093275308463,0.9997606588018709,29209.41914131779,227562.31536392277,0.0293428337702602,0.03012169634939022,0.6629698610975878,1.7760265298272357e-05,0.33701237863711386
1.5,253.33333333333334,90295.43895911993,0.039476697665474285,0.02975100948423065,1258.1821138408645,0.0793099744685185,0.013934060549951919,0.656065939450048,0.999765193880575,29568.52822045615,230434.62021380305,0.02930997446851849,0.030085043700529064,0.6629983078828612,1.7422217357714415e-05,0.33698426989978103
1.5,253.75,91410.64190870414,0.03944311284593908,0.02972814656489084,1268.5731089425296,0.07927727911825604,0.013877739861071206,0.6561222601389287,0.9997696417710438,29931.643509110716,233339.6249953447,0.029277279118256033,0.030048577639491265,0.6630266083285169,1.7090675563587538e-05,0.33695630099591956
1.5,254.16666666666669,92538.32660491078,0.03940969856212949,0.0297053997945975,1279.0377669702298,0.07924474679219441,0.013821708408787613,0.6561782915912123,0.9997740041644458,30298.806284051276,236277.6711437284,0.02924474679219441,0.030012297089061148,0.6630547634363817,1.676551418154658e-05,0.3369284710494367
1.5,254.58333333333334,93678.62200122423,0.03937645379694433,0.02968276848685975,1289.5765582171666,0.07921237656622644,0.013765964215403532,0.6562340357845964,0.9997782827190429,30670.058235221455,239249.10354511885,0.02921237656622644,0.02997620098083128,0.6630827742002197,1.6446609899355786e-05,0.33690077918988093
1.5,255.0,94831.65831506018,0.03934337753903906,0.029660251958902296,1300.1899558988612,0.07918016752045916,0.013710505320693928,0.656289494679306,0.9997824790609131,31045.44146039583,242254.27048632322,0.029180167520459155,0.02994028825140655,0.6631106416050259,1.6133841773419133e-05,0.3368732245532008
1.5,255.41666666666669,95997.56700640322,0.039310468778700675,0.02963784952891919,1310.8784358654912,0.07914811874019108,0.013655329783285583,0.6563446702167144,0.9997865947846479,31424.998459458166,245293.52360015796,0.029148118740191076,0.029904557838302696,0.6631383666263103,1.582709117742423e-05,0.33684580628251237
1.5,255.83333333333334,97176.48085537006,0.039277726515749525,0.02961556052134645,1321.6424772223406,0.07911622931400818,0.01360043567732578,0.6563995643226741,0.9997906314537918,31808.772157202555,248367.21806894458,0.029116229314008174,0.029869008687876807,0.6631659502317901,1.552624177295907e-05,0.33681852352643693
1.5,256.25,98368.53394299553,0.03924514975584036,0.0295933842644011,1332.4825620563488,0.07908449833475696,0.013545821093852238,0.6564541789061477,0.9997945906015212,32196.805898154984,251475.71257553546,0.02908449833475696,0.029833639751658918,0.6631933933806999,1.5231179459256858e-05,0.33679137543984083
1.5,256.6666666666667,99573.8616282969,0.03921273750624671,0.029571320087274172,1343.399175134951,0.07905292490053197,0.013491484142191628,0.6565085158578083,0.999798473731305,32589.14344041138,254619.36924455193,0.029052924900531962,0.02979844998215731,0.6632206970230788,1.4941792324486385e-05,0.33676436118459663
1.5,257.08333333333337,100792.60062787416,0.03918048878370049,0.029549367325361918,1354.3928045351445,0.0790215081128068,0.01343742294670575,0.6565625770532941,0.999802282317323,32985.828979033475,257798.55385132408,0.029021508112806793,0.029763438340727137,0.6632478621014071,1.4657970617607811e-05,0.3367374799279753
1.5,257.5,102024.88899728427,0.039148402610845845,0.029527525317906214,1365.463941375948,0.07899024707736012,0.013383635648084796,0.6566163643519152,0.9998060178051037,33386.90714105196,261013.63577443003,0.028990247077360115,0.029728603794052087,0.6632748895499665,1.4379606701140846e-05,0.33671073084333236
1.5,257.9166666666667,103270.8661064966,0.03911647801192228,0.029505793405119666,1376.6130795038462,0.0789591409052575,0.013330120404763854,0.656669879595236,0.9998096816121487,33792.42297885663,264264.98793273605,0.028959140905257502,0.029693945309845544,0.6633017802941223,1.4106595004988934e-05,0.33668411311087265
1.5,258.33333333333337,104530.67272153444,0.03908471402054981,0.029484170933380512,1387.8407161300804,0.07892818871103004,0.013276875389745486,0.6567231246102544,0.9998132751283317,34202.42199418643,267552.986999772,0.028928188711030034,0.02965946186466522,0.6633285352519185,1.3838831999496384e-05,0.33665762591608206
1.5,258.75,105804.45098648706,0.039053109676316165,0.029462657252961537,1399.1473515692917,0.07889738961354019,0.013223898791819122,0.6567761012081809,0.9998167997164981,34616.95013333205,270878.01335794415,0.028897389613540186,0.029625152440525306,0.6633551553334641,1.3576216151061426e-05,0.3366312684503848
1.5,259.1666666666667,107092.34439733619,0.039021664020384574,0.029441251715104484,1410.5334889116975,0.07886674273696719,0.013171188816992441,0.6568288111830075,0.9998202567130541,35036.05378006988,274240.4510313043,0.028866742736967183,0.029591016020519993,0.6633816414402176,1.3318647878382294e-05,0.33660503991190405
1.5,259.58333333333337,108394.49788563127,0.0389903761032047,0.02941995367716558,1421.9996346682146,0.07883624720902889,0.013118743685390644,0.6568812563146093,0.999823647428348,35459.77978024641,277640.6879053485,0.028836247209028887,0.02955705159656382,0.6634079944665465,1.3066029526678936e-05,0.3365789395039268
1.5,260.0,109711.0578012026,0.038959244981248094,0.02939876250044281,1433.5462985156335,0.07880590216179463,0.013066561632403837,0.6569334383675961,0.9998269731472321,35888.175437196245,281079.1156830668,0.028805902161794628,0.029523258166149903,0.663434215299139,1.2818265325980889e-05,0.336552966435535
1.5,260.4166666666667,111042.17188433332,0.03892826971253128,0.029377677547193524,1445.1739929556172,0.07877570673266975,0.01301464091013077,0.6569853590898692,0.9998302351296211,36321.28850421523,284556.12981336965,0.028775706732669742,0.029489634727886023,0.6634603048163035,1.257526134968797e-05,0.33652711992234685
1.5,260.83333333333337,112387.98935145752,0.03889744936425803,0.02935669818573414,1456.8832339671,0.07874566006265689,0.012962979784353675,0.6570370202156463,0.9998334346108535,36759.1672097357,288072.12971630535,0.028745660062656886,0.029456180289166696,0.6634862638894543,1.233692548991863e-05,0.33650139918505584
1.5,261.25,113748.66087864111,0.03886678300969519,0.029335823788360728,1468.6745407586275,0.07871576129712497,0.012911576535617962,0.657088423464382,0.9998365728022204,37201.86025297872,291627.51874109457,0.02871576129712497,0.029422893863069392,0.6635120933825986,1.2103167418312892e-05,0.33647580344998307
1.5,261.6666666666667,115124.3385720722,0.038836269723629385,0.02931505372832187,1480.5484354139421,0.07868600958678736,0.012860429460683179,0.6571395705393167,0.9998396508914924,37649.41679595962,295222.70409016166,0.028686009586787353,0.029389774463822065,0.6635377941515979,1.1873898546802252e-05,0.3364503319498553
1.5,262.08333333333337,116515.1760557753,0.03880590858991776,0.029294387384857443,1492.5054435515244,0.07865640408600395,0.012809536869575417,0.6571904631304245,0.9998426700432644,38101.886489252756,298858.0970497424,0.02865640408600395,0.029356821114383376,0.6635633670456362,1.164903200404743e-05,0.33642498392235975
1.5,262.5,117921.32845592372,0.03877569869851954,0.029273824141222614,1504.5460940842354,0.07862694395350724,0.012758897086599564,0.6572411029134003,0.9998456313994515,38559.31946789638,302534.1129500867,0.028626943953507233,0.029324032843493088,0.6635888129067341,1.1428482598606095e-05,0.3363997586106673
1.5,262.9166666666667,119342.95236961657,0.03874563914087236,0.029253363381606827,1516.6709188516002,0.07859762835336638,0.012708508451796338,0.6572914915482035,0.9998485360797872,39021.76634292266,306251.171085011,0.028597628353366378,0.0292914086810565,0.6636141325689981,1.1212166781809689e-05,0.33637465526421995
1.5,263.33333333333337,120780.20595462038,0.03871572901738173,0.029233004496131677,1528.8804532863485,0.07856845645335091,0.012658369318071709,0.6573416306819282,0.999851385182151,39489.278227712064,310009.69494789257,0.028568456453350904,0.02925894766566401,0.6636393268600739,1.1000002625251929e-05,0.3363496731373008
