period,directive_share_percent,platform,source
2025-01,27,Claude.ai,Anthropic Economic Index V1 as restated in January 2026 report
2025-08,39,Claude.ai,Anthropic Economic Index September 2025 report
2025-11,32,Claude.ai,Anthropic Economic Index January 2026 report
