year,total_electricity_twh,status,ai_focused_growth_percent,ai_focused_index_2025,source
2024,415,observed,,,IEA Energy and AI (2025)
2025,485,observed,50,1.0,IEA Key Questions on Energy and AI (2026)
2030,950,central_projection,,3.0,IEA Key Questions on Energy and AI (2026)
