alpha,eta,sigma_xl,sigma_hm,terminal_output_capital_ratio,duration,initial_log_consumption,initial_log_shadow_value,mesh_nodes,max_rms_residual,estimated_singularity_time
0.33,0.2,1.5,2.0,16.0,1667.6850982123171,-0.3477982686478376,-0.768738350189968,1704.0,9.890785201850142e-07,1669.005202237645
0.33,0.2,1.5,2.0,32.0,1668.3605744946183,-0.34779826864788804,-0.7687383501899927,1501.0,9.990820779325047e-07,1669.0206265072823
0.33,0.2,1.5,2.0,64.0,1668.6945784124584,-0.3477982686478327,-0.7687383501899586,1563.0,9.999939436666229e-07,1669.0246044187904
