sigma_hm,horizon,initial_log_consumption,initial_log_shadow_value,max_rms_residual,minimum_consumption_share,minimum_investment_share,minimum_inference_share,minimum_research_resource_share,minimum_human_research_share,minimum_production_labor_share,max_abs_euler_residual,max_abs_resource_residual,max_abs_monopoly_foc_log_error,max_abs_factor_price_error,max_abs_share_definition_error,max_abs_research_dual_error,max_abs_technology_log_error,max_abs_research_compute_foc_log_error,max_abs_research_human_foc_log_error,max_abs_labor_market_error,max_abs_capital_law_residual,max_abs_capability_law_residual,max_abs_consumption_path_residual,max_abs_shadow_costate_residual,minimum_monopoly_soc_margin,terminal_household_tvc_log_proxy,terminal_developer_tvc_log_proxy,terminal_household_tvc_proxy,terminal_developer_tvc_proxy,initial_capital_log_error,initial_capability_log_error,initial_population_log_error,terminal_consumption_target_error,terminal_shadow_target_error
1.0,1000.0,-0.5204998162294496,-0.6830875803699097,3.214352011945476e-06,0.7447580187101565,0.22736495010546307,0.01795599999999997,6.3385177778732765e-06,2.1961333017712123e-05,0.9980680812020734,0.0,3.3306690738754696e-16,5.329070518200751e-15,1.7763568394002505e-15,0.0,3.576028362317629e-13,2.324807013565078e-13,3.552713678800501e-15,3.5793590313915047e-13,8.881784197001252e-16,3.419231497596431e-06,1.8040885107371493e-06,2.1048733929874414e-06,1.9231508209434367e-06,0.11604399999999992,-26.43430814210255,-28.86445674251041,3.3092215280445016e-12,2.9129009259956667e-13,0.0,0.0,0.0,9.046299487280862e-09,6.41275033075317e-09
1.0,1200.0,-0.5204997877838562,-0.6830875578509279,5.2844105776540495e-06,0.744758039895655,0.22736495172173962,0.01795599999999997,6.33851803739742e-06,2.1961333916876712e-05,0.9980504394695302,0.0,2.220446049250313e-16,5.329070518200751e-15,1.7763568394002505e-15,0.0,3.5726976932437537e-13,2.3214763444912023e-13,3.552713678800501e-15,3.5793590313915047e-13,8.881784197001252e-16,4.39084442063406e-06,1.671833620822509e-06,2.6965917728632993e-06,2.4645259502041605e-06,0.11604399999999992,-32.03451061256606,-34.46445662092417,1.2234572827937943e-14,1.0771511953616485e-15,0.0,0.0,0.0,1.0755411006257987e-08,7.625858722271062e-09
1.0,1400.0,-0.5204997430809121,-0.683087522854881,7.992970425205683e-06,0.744758073189177,0.22736495406441487,0.01795599999999997,6.338518440715809e-06,2.196133531424042e-05,0.9980471180535544,0.0,2.220446049250313e-16,5.329070518200751e-15,1.7763568394002505e-15,0.0,3.58046925441613e-13,2.327027459614328e-13,3.552713678800501e-15,3.588240815588506e-13,1.7763568394002505e-15,7.85669312780915e-06,5.094964311493262e-06,4.82553923666397e-06,4.409367113369575e-06,0.11604399999999992,-37.63453930070026,-40.06444739427242,4.524048506337598e-17,3.983195073878297e-18,0.0,0.0,0.0,5.027710932026253e-07,3.5647826557294593e-07
2.0,1400.0,-0.5204907195223895,-0.6840064513856171,7.982502795866734e-06,0.7447709635824985,0.22736918263431952,0.017955999999999937,2.349307267334755e-06,1.1672467587165818e-06,0.9984286787740264,0.0,3.3306690738754696e-16,7.105427357601002e-15,1.7763568394002505e-15,0.0,2.6895818905359192e-11,2.3868906851021165e-11,3.552713678800501e-15,1.3447354341167284e-11,1.7763568394002505e-15,7.846979090498502e-06,7.460829325039997e-07,4.819670165426282e-06,4.403719266002706e-06,0.11604399999999992,-37.644106979582084,-40.09218394425958,4.4809702709609685e-17,3.8742330848597095e-18,0.0,0.0,0.0,1.4025669514694528e-11,1.7336909685639057e-11
2.0,1600.0,-0.5204906546262127,-0.6840064013908318,1.136082502497048e-05,0.7447710119167693,0.22736918593161085,0.017955999999999903,2.3493074808910115e-06,5.492872666337828e-08,0.9984286787763366,0.0,2.220446049250313e-16,7.105427357601002e-15,1.7763568394002505e-15,0.0,2.6895818905359192e-11,2.3868906851021165e-11,5.329070518200751e-15,1.3448242519586984e-11,1.7763568394002505e-15,1.1993697982808776e-05,7.612434392186007e-07,7.367243374828414e-06,6.730134814485894e-06,0.11604399999999992,-43.2445606010909,-45.692184028589885,1.656250256790932e-19,1.432638474555202e-20,0.0,0.0,0.0,6.334266444696368e-12,1.1011191958232303e-12
2.0,1800.0,-0.5204905655888362,-0.6840063339136326,1.5439601358168956e-05,0.7447710782312282,0.2273691932609433,0.017955999999999903,2.3493077691246687e-06,2.523668990978046e-09,0.9984286812051906,0.0,3.3306690738754696e-16,8.881784197001252e-15,1.7763568394002505e-15,0.0,4.7407411329913884e-11,2.3868906851021165e-11,5.329070518200751e-15,2.3703705664956942e-11,1.7763568394002505e-15,1.67247971166809e-05,2.9215037500307517e-08,1.027420858895102e-05,9.383976650161746e-06,0.11604399999999992,-48.844645582683526,-51.29218527162412,6.1240672748981345e-22,5.297695248674482e-23,0.0,0.0,0.0,1.7225110227059304e-12,1.9317880628477724e-12
