scenario,sigma_xl,sigma_hm,horizon,acceptance_tolerance,solver_tolerance,time,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_research_price,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,profit_shadow_ratio,ai_labor_ratio,monopoly_root_fallback,labor_root_fallback,human_to_automated_research_ratio,human_to_automated_service_ratio,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,monopoly_foc_log_error,capital_price_error,wage_foc_log_error,ai_price_foc_log_error,ai_share_definition_error,research_price_log_error,human_conditional_demand_log_error,automated_service_demand_log_error,automated_share_definition_error,research_scale_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,0.0,1.0397665031863517,0.0,0.0,-0.6822234524539514,-0.01387880344747745,-0.4470493250475942,-1.1793615986553587,-1.463537683027502,2.0541019430392087,-0.0,-0.3038528549332437,-3.678140460002361,-3.678140460002361,-8.568741416580192,-0.00018996961241023595,-10.651318308013915,-10.651318308013915,-9.297643328581993,-0.011560969986308053,0.00015238357686829849,-0.003389829908169169,-0.015389829908169169,-0.0010369132580618536,0.002719771912037941,-0.00928022808796206,-0.010045921947685499,0.07461017009183084,0.024610170091830835,0.0001899515693259803,0.999810048430674,0.4600078955908197,0.8717920780905442,0.1948468618991841,0.3500000000000006,0.039514359758279424,3.701197744530748e-05,0.17001542670262895,0.7904332015616463,1.0,0.3617947099541507,0.36186344648369206,7.799830034732403,0.26869093028756974,1.542139166319285,0.34866444092229104,0.02562308293653593,0.025274722575177384,0.0,0.0,8.025122160831376,8.025122160831376,-0.4470493250475942,-0.6822234524539514,1.0397665031863517,0.0,0.0,9.730714498057402e-18,-4.440892098500626e-16,5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,0.0,3.885780586188048e-16,1.1102230246251565e-16,0.0,1.7763568394002505e-15,9.332812300755222e-16,3.774758283725532e-15,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,2.0,1.0197258057584275,0.00030618477266188514,0.024,-0.6869543099929707,-0.014283490759387316,-0.44047523941201616,-1.1596787392720855,-1.4824015659041554,2.047738404047909,-0.00030618477266188514,-0.31622154347350034,-3.6635165266863847,-3.6638227114590465,-8.54049349273771,0.023809221617581623,-10.641934267048086,-10.641628082275425,-9.275890599075908,-0.008532417969727493,0.0001538354335333421,-0.00137743548433613,-0.01337743548433613,0.0006031882592465627,0.003854313723540101,-0.0081456862764599,-0.00881796092896786,0.07662256451566388,0.026622564515663874,0.00019076018537999824,0.99980923981462,0.4607842653177407,0.8710131204645335,0.19544604219000566,0.3500000000000006,0.03982153342999313,3.711612570606506e-05,0.17859363173876097,0.7815477187055399,1.0,0.36127454223711364,0.36134347218485363,7.752726506768765,0.2689039243328931,1.5318833611881304,0.35568736870639256,0.02599514717563581,0.025038872835904825,0.0,0.0,8.177944000256627,8.175440421630457,-0.4644752394120162,-0.7109543099929707,0.9957258057584275,1.0182826803983858e-15,0.0,1.457167719820518e-16,-4.440892098500626e-16,5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,0.0,-1.6653345369377348e-16,0.0,0.0,3.552713678800501e-15,9.679756995950584e-16,3.3306690738754696e-15,0.0,0.0,9.54097911787244e-16,1.4094628242311558e-18,3.642919299551295e-17,4.597017211338539e-17
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,4.0,1.0054260691950032,0.0006154786850924056,0.048,-0.6878788258052395,-0.011582201158112534,-0.4316320701534338,-1.139436825354903,-1.4988095267433734,2.0421935547741326,-0.0006154786850924056,-0.3269949708883427,-3.6476650343078196,-3.648280512992912,-8.510359473829483,0.04780804767022774,-10.628208208979078,-10.627592730293985,-9.251391113592057,-0.005820009121808523,0.00015549271663693664,0.0004165118185813707,-0.01158348818141863,0.0020690636551227923,0.004928246008947049,-0.007071753991052952,-0.007655264500910142,0.07841651181858138,0.028416511818581375,0.0001919339081025185,0.9998080660918974,0.4614591047232414,0.8703360315943478,0.1959655508326958,0.3500000000000006,0.04008919457947436,3.729780281455046e-05,0.1859225391653865,0.7739509684523247,1.0,0.3608223998354282,0.3608916671835124,7.712242747896725,0.2690884055850974,1.5229745261607746,0.3618980300911659,0.026322958060588264,0.024835701560034954,0.0,0.0,8.313234268634053,8.308119224399343,-0.4796320701534338,-0.7358788258052396,0.9574260691950032,1.474514954580286e-15,0.0,6.938893903907228e-17,0.0,-5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,0.0,-3.885780586188048e-16,2.220446049250313e-16,0.0,3.552713678800501e-15,-1.6306400674181987e-16,2.6645352591003757e-15,0.0,0.0,0.0,-8.131516293641283e-20,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,6.0,0.9962457525707809,0.0009282805738744099,0.07200000000000001,-0.6854245378017574,-0.00611697433613274,-0.42076225537622797,-1.1186915727232623,-1.513022623907796,2.0373743947899974,-0.0009282805738744099,-0.3363429647062911,-3.630711990078904,-3.6316402706527784,-8.478561242046776,0.07180654478435919,-10.610623074360793,-10.609694793786918,-9.224457985155825,-0.0034091364996053017,0.0001573395168380946,0.002004641081788376,-0.009995358918211624,0.003369417923127751,0.005884409871991514,-0.006115590128008486,-0.006619475804629682,0.08000464108178838,0.03000464108178838,0.00019343650438721313,0.9998065634956128,0.46204278991965314,0.8697504007806147,0.1964139014682168,0.3500000000000006,0.040321195100191796,3.754911235738882e-05,0.19217616312299277,0.7674650926644581,1.0,0.3604313307538324,0.36050106481963895,7.677566810133935,0.2692474741459758,1.5152395747593443,0.36735211615619096,0.02661044218475863,0.024661337752080563,0.0,0.0,8.432234754490397,8.424410906698228,-0.492762255376228,-0.7574245378017574,0.9242457525707808,-8.743006318923108e-16,0.0,-8.326672684688674e-17,-4.440892098500626e-16,-5.551115123125783e-17,0.0,-1.7763568394002505e-15,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,-5.100087019371813e-16,3.1086244689504383e-15,0.0,0.0,0.0,-3.2526065174565133e-19,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,8.0,0.9916010119938564,0.001244953369251539,0.096,-0.679987598303472,0.001792371752685401,-0.40809443066546774,-1.0974966636170753,-1.5252874299618921,2.03319475011488,-0.001244953369251539,-0.3444259241198354,-3.6127776607629487,-3.6140226141322,-8.445302476311022,0.09580474513454804,-10.589629114679132,-10.58838416130988,-9.19538106606062,-0.0012809799144690368,0.00015936129799939684,0.003401785837315839,-0.008598214162684161,0.004515151376738261,0.00672999156868595,-0.00527000843131405,-0.0057030177530843496,0.08140178583731585,0.03140178583731584,0.00019523580446132173,0.9998047641955387,0.46254523871026626,0.8692462771606997,0.19679911946726977,0.35000000000000137,0.04052127300178334,3.786305649186557e-05,0.19750520781394384,0.7619356561277809,1.0,0.3600946900641216,0.36016500716903505,7.647965796194002,0.269384036934095,1.5085241002456018,0.3721107749655214,0.02686153505614268,0.02451224707059775,0.0,0.0,8.536291290580888,8.525670618470283,-0.5040944306654678,-0.775987598303472,0.8956010119938564,-6.938893903907228e-16,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,-5.329070518200751e-15,0.0,0.0,-5.551115123125783e-16,0.0,0.0,3.552713678800501e-15,-1.2490009027033011e-15,4.884981308350689e-15,0.0,0.0,0.0,2.439454888092385e-19,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,10.0,0.9909479513292212,0.0015658335043876453,0.12,-0.6719338868369014,0.011848798312920183,-0.39384228910148417,-1.0759031537912347,-1.5358346949201334,2.0295752512846894,-0.0015658335043876453,-0.35139395438998994,-3.593975553010858,-3.5955413865152455,-8.410769683749496,0.11980267748267688,-10.565643587075852,-10.564077753571464,-9.164427508187185,0.0005863569826907028,0.0001615447444628682,0.004624183326800861,-0.007375816673199139,0.005518636783993943,0.007473065905311688,-0.0045269340946883126,-0.004897302962332095,0.08262418332680087,0.032624183326800865,0.00019730305051562125,0.9998026969494844,0.46297582224734346,0.8688142583451653,0.1971287009399541,0.35000000000000014,0.04069300382855317,3.8233391620961935e-05,0.2020413047625616,0.7572274580172643,1.0,0.35980619909427985,0.3598772039644332,7.622779635846536,0.2695007970771669,1.5026901285996426,0.37623801414785096,0.02708010324555402,0.024385216035635766,0.0,0.0,8.626802299307066,8.613304733459307,-0.5138422891014842,-0.7919338868369014,0.8709479513292212,-1.0159928454100964e-13,0.0,2.3592239273284576e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,-9.992007221626409e-16,8.881784197001252e-16,0.0,0.0,0.0,3.2526065174565133e-19,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,12.0,0.9937881690581338,0.0018912320621863113,0.14400000000000002,-0.6615961902129699,0.023780792068467782,-0.378202167044221,-1.0539586012438884,-1.5448766418112205,2.0264438304265457,-0.0018912320621863113,-0.3573851093644261,-3.5744107576874664,-3.576301989749653,-8.375131348687422,0.14380036733077609,-10.539047198904864,-10.537155966842677,-9.13183996504176,0.0022162536941087926,0.0001638778208966434,0.005688562411754729,-0.0063114375882452715,0.00639291341346079,0.008122529748854579,-0.0038774702511454213,-0.004192812953376923,0.08368856241175474,0.03368856241175473,0.00019961274394855486,0.9998003872560515,0.46334322463532873,0.8684456312825535,0.1974095284852218,0.3500000000000006,0.040839733028985616,3.865459000139159e-05,0.20589867028992748,0.7532229420910855,1.0,0.3595600394943297,0.3596318265900466,7.601419928120942,0.2696002274766846,1.4976155218563234,0.37979784869601685,0.02726983824150272,0.024277358182852263,0.0,0.0,8.705159102715365,8.688711185031032,-0.522202167044221,-0.8055961902129699,0.8497881690581338,1.681779715489995e-13,0.0,-1.3877787807814457e-16,0.0,-5.551115123125783e-17,0.0,-1.7763568394002505e-15,0.0,0.0,2.7755575615628914e-16,1.1102230246251565e-16,0.0,0.0,-5.551115123125783e-17,2.4424906541753444e-15,0.0,0.0,0.0,-4.336808689942018e-19,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,14.0,0.9996705160016295,0.0022214373199557977,0.168,-0.649273913648945,0.03734307268569624,-0.36135217010606585,-1.031706627442692,-1.552605946733641,2.023735737111049,-0.0022214373199557977,-0.3625247294042188,-3.5541791965469285,-3.5564006338668843,-8.338538208064755,0.1677978371765069,-10.510183363204618,-10.507961925884663,-9.097836509301722,0.003632415455107542,0.00016634975097522904,0.0066114811462473985,-0.005388518853752602,0.0071510886088192,0.008687508360993426,-0.003312491639006574,-0.003579748964850138,0.0846114811462474,0.0346114811462474,0.00020214238996649076,0.9997978576100335,0.4636553779090293,0.8681324374979406,0.19764784135289643,0.35000000000000014,0.04096454003230455,3.912178077115879e-05,0.20917606996613183,0.7498202682207925,1.0,0.35935089680095034,0.3594235515366682,7.583366075978695,0.26968456316674505,1.4931928506552914,0.38285229918464114,0.027434192451649606,0.02418610380401017,0.0,0.0,8.772704635552193,8.753238251758756,-0.5293521701060658,-0.8172739136489451,0.8316705160016294,1.1764894614074706e-13,0.0,8.326672684688674e-17,-4.440892098500626e-16,5.551115123125783e-17,0.0,0.0,0.0,0.0,3.885780586188048e-16,2.220446049250313e-16,0.0,0.0,6.522560269672795e-16,1.1102230246251565e-15,0.0,0.0,0.0,-3.2526065174565133e-19,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,16.0,1.0081908376532778,0.00255671722249029,0.192,-0.6352339312929773,0.05231626191723096,-0.3434521336002473,-1.0091867313818343,-1.559195637670621,2.0213933184179758,-0.00255671722249029,-0.3669253764791429,-3.5333673811325452,-3.5359240983550357,-8.301124007281866,0.19179510677382028,-10.479358853358706,-10.476802136136216,-9.062611352380886,0.0048580108663494465,0.00016895096859684253,0.007408846396183104,-0.004591153603816896,0.007805895438723346,0.009176994468124977,-0.002823005531875023,-0.003048429917166362,0.08540884639618311,0.03540884639618311,0.00020487223699620411,0.9997951277630038,0.46391944000100066,0.867867495198996,0.19784923503183635,0.350000000000001,0.04107022121424802,3.963069079668818e-05,0.2119586477250949,0.7469315003698602,0.9999999999999998,0.3591739751993295,0.35924757505366617,7.568160472747563,0.26975580358642237,1.489328150761891,0.3854599977634358,0.027576341179905758,0.024109182657916183,0.0,0.0,8.8307049399382,8.808156162238754,-0.5354521336002473,-0.8272339312929773,0.8161908376532778,8.637535131583718e-14,0.0,0.0,0.0,5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,0.0,-2.220446049250313e-16,1.1102230246251565e-16,0.0,1.7763568394002505e-15,-5.273559366969494e-16,3.3306690738754696e-15,0.0,0.0,0.0,1.3552527156068805e-19,0.0,0.0
axm_complements_sigma_xl_075_hm_1_T_1600,0.75,1.0,1600.0,1e-05,1e-06,18.0,1.018990259258901,0.0028973217371848353,0.216,-0.6197122353125806,0.06850580882970056,-0.32464419223356594,-0.9864342952074677,-1.5647996664023065,2.0193656354015967,-0.0028973217371848353,-0.37068720673488154,-3.512052553801658,-3.514949875538843,-8.263006577590996,0.2157921933911872,-10.446845452399524,-10.443948130662339,-9.026336121165963,0.00591507020281741,0.00017167304999038516,0.00809559106399798,-0.0039044089360020205,0.008369387432820435,0.009599592255497169,-0.002400407744502831,-0.002589575789552656,0.08609559106399799,0.036095591063997984,0.00020778501851503018,0.999792214981485,0.46414180483889084,0.8676443891449797,0.19801868217663265,0.3500000000000006,0.04115928730887548,4.017758679784627e-05,0.21431960613655263,0.7444809289677742,1.0000000000000002,0.35902499075794314,0.35909960627628196,7.5554031562397626,0.2698157219331814,1.4859396347123903,0.3876753064726802,0.027699165125804063,0.024044602228289833,0.0,0.0,8.880331388286809,8.854639448003168,-0.540644192233566,-0.8357122353125805,0.8029902592589011,6.263045637666664e-14,0.0,8.326672684688674e-17,4.440892098500626e-16,0.0,0.0,-3.552713678800501e-15,0.0,0.0,-3.3306690738754696e-16,2.220446049250313e-16,0.0,1.7763568394002505e-15,8.604228440844963e-16,3.9968028886505635e-15,0.0,0.0,0.0,-2.710505431213761e-19,0.0,0.0
