scenario,sigma_xl,sigma_hm,horizon,time,population_path_error,labor_market_error_independent,final_production_log_error_independent,inference_identity_log_error_independent,automated_service_log_error_independent,research_ces_log_error_independent,capability_law_log_error_independent,capital_price_error_independent,net_interest_error_independent,wage_foc_log_error_independent,ai_price_foc_log_error_independent,ai_share_error_independent,research_price_log_error_independent,human_demand_log_error_independent,automated_service_demand_log_error_independent,automated_share_quantity_error_independent,automated_share_expenditure_error_independent,research_scale_foc_log_error_independent,research_compute_foc_log_error_independent,research_human_foc_log_error_independent,resource_constraint_error_independent,profit_shadow_ratio_error_independent,static_max_abs_error,monopoly_foc_log_error_independent,monopoly_soc_margin_independent,rhs_capital_growth,rhs_capability_growth,rhs_consumption_growth,rhs_shadow_growth,stored_capital_rate_error,stored_capability_rate_error,stored_consumption_rate_error,stored_shadow_rate_error,ai_share_independent,automated_research_share_independent,inference_output_share_independent,research_output_share_independent,human_population_share_independent,profit_shadow_ratio_independent,net_interest_rate_independent,bounded_exp_min_argument,bounded_exp_max_argument,bounded_exp_clipping_count,fd_capital_growth,fd_capital_growth_residual,fd_capability_growth,fd_capability_growth_residual,fd_consumption_growth,fd_consumption_growth_residual,fd_shadow_growth,fd_shadow_growth_residual
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.197442310920451e-14,2.220446049250313e-16,0.0,0.0,4.336808689942018e-17,0.0,5.551115123125783e-17,0.0,4.884981308350689e-14,0.0,-1.1157741397482823e-14,0.0,-2.7755575615628914e-16,-1.942890293094024e-16,-4.907185768843192e-14,0.0,6.938893903907228e-18,4.907185768843192e-14,4.440892098500626e-16,0.19428057698142298,-0.014731466687579582,0.002221186585867824,-0.005202241844769827,-0.0053955503692217875,0.0,0.0,0.0,-3.469446951953614e-18,0.45927606704181423,0.35,0.03922555094764236,0.0002175243133289664,0.0011138295204558449,0.02803782546344122,0.022797758155230177,-9.944607422565586,0.0960246351538496,0.0,,,,,,,,
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.842170943040401e-14,-2.220446049250313e-16,0.0,0.0,-1.734723475976807e-17,0.0,0.0,0.0,4.3520742565306136e-14,0.0,-9.71445146547012e-15,2.220446049250313e-16,0.0,-2.7755575615628914e-16,-4.3520742565306136e-14,0.0,-3.469446951953614e-18,4.3520742565306136e-14,8.664943762504151e-16,0.19478820826437038,-0.011297814164436377,0.0022145255725153283,-0.0029063219533726134,-0.003555341338515261,0.0,0.0,0.0,6.938893903907228e-18,0.4599320093048852,0.35,0.03948437853344824,0.00021480806699524538,0.0011012707879958386,0.02849400259506658,0.02509367804662739,-9.926121919895799,0.10494529315543827,0.0,,,,,,,,
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.6645352591003757e-14,-2.220446049250313e-16,0.0,0.0,-1.5959455978986625e-16,0.0,5.551115123125783e-17,0.0,4.085620730620576e-14,0.0,-9.159339953157541e-15,-5.551115123125783e-17,-3.3306690738754696e-16,-1.1657341758564144e-15,-4.085620730620576e-14,0.0,-3.469446951953614e-18,4.085620730620576e-14,-3.937822290467352e-16,0.19520573469237654,-0.008195031044405839,0.0022088379462421683,-0.0008436107411621194,-0.0018956023449135766,0.0,0.0,0.0,6.938893903907228e-18,0.46047264248450437,0.35,0.03969814129948892,0.00021240938662417665,0.0010900767349596896,0.02889737294751451,0.027156389258837885,-9.910253339450032,0.11036653114325895,0.0,,,,,,,,
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,6.0,0.0,0.0,0.0,0.0,0.0,-2.5757174171303632e-14,4.440892098500626e-16,0.0,0.0,-1.3877787807814457e-17,-4.440892098500626e-16,0.0,0.0,3.907985046680551e-14,0.0,-8.715250743307479e-15,5.551115123125783e-17,-5.551115123125783e-17,-1.3877787807814457e-16,-3.930189507173054e-14,0.0,-3.469446951953614e-18,3.930189507173054e-14,-2.255140518769849e-16,0.1955420871919989,-0.005416234181704255,0.0022040147898827354,0.0009945664495841292,-0.0004116573885675351,0.0,0.0,0.0,1.0408340855860843e-17,0.4609089078757249,0.35,0.039870924232783246,0.00021028782635500672,0.0010800731317722558,0.029251942802859875,0.028994566449584133,-9.896746947451513,0.11264499504278272,0.0,-0.005416131308654126,1.0287305012880721e-07,0.002204014203106939,-5.867757963545772e-10,0.000994647256202701,8.08066185718076e-08,-0.0004116021709413445,5.521762619061302e-08
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,8.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-2.5757174171303632e-14,0.0,0.0,0.0,-2.7755575615628914e-17,-4.440892098500626e-16,-5.551115123125783e-17,0.0,3.9968028886505635e-14,0.0,-8.93729534823251e-15,-1.6653345369377348e-16,3.3306690738754696e-16,-5.828670879282072e-16,-3.907985046680551e-14,0.0,0.0,3.9968028886505635e-14,-1.3530843112619095e-16,0.1958059595511603,-0.002947305647193317,0.0021999540788024963,0.002620808185731398,0.000904824142492669,0.0,0.0,0.0,6.938893903907228e-18,0.461251627434243,0.35,0.04000683780205727,0.00020840697773368978,0.0010711033321051363,0.029561987257722556,0.030620808185731402,-9.885353638429244,0.1121247502734847,0.0,-0.0029474155696949007,-1.0992250158367578e-07,0.002199954582751192,5.039486957077177e-10,0.0026207202670274453,-8.791870395249979e-08,0.0009047601177681367,-6.402472453224083e-08
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,10.0,0.0,0.0,0.0,0.0,0.0,-2.3092638912203256e-14,0.0,0.0,0.0,-2.7755575615628914e-17,-4.440892098500626e-16,-5.551115123125783e-17,0.0,3.6415315207705135e-14,0.0,-8.548717289613705e-15,2.220446049250313e-16,4.440892098500626e-16,8.881784197001252e-16,-3.597122599785507e-14,2.220446049250313e-16,1.0408340855860843e-17,3.6415315207705135e-14,6.106226635438361e-16,0.19600560939015232,-0.0007691154814702533,0.0021965618377277132,0.004050300070681641,0.0020646940402431584,0.0,0.0,0.0,-1.0408340855860843e-17,0.4615112065928638,0.35,0.04010988517367453,0.00020673440292912727,0.0010630279449796417,0.02983184670179755,0.032050300070681645,-9.875835845947403,0.10913031864944966,0.0,-0.000769210743839472,-9.526236921866826e-08,0.002196562032142291,1.9441457775257187e-10,0.004050238900594594,-6.117008704686205e-08,0.0020646449799223616,-4.906032079676423e-08
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,12.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,-2.220446049250313e-14,-2.220446049250313e-16,0.0,0.0,-2.7755575615628914e-17,-4.440892098500626e-16,0.0,0.0,3.375077994860476e-14,0.0,-7.549516567451064e-15,0.0,-3.3306690738754696e-16,-8.743006318923108e-16,-3.397282455352979e-14,0.0,0.0,3.397282455352979e-14,1.0408340855860843e-16,0.1961487252346819,0.0011405955134122722,0.0021937526592363693,0.005299663935185682,0.00308032812240042,0.0,0.0,0.0,0.0,0.46169742658225377,0.35,0.04018386633141429,0.00020524143608794697,0.0010557239186036926,0.03006577312663872,0.033299663935185686,-9.867971674487071,0.10396226425275444,0.0,0.0011407887638354586,1.9325042318642238e-07,0.002193752038167452,-6.210689172149453e-10,0.005299802272242683,1.3833705700145443e-07,0.0030804337031785467,1.0558077812678965e-07
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,14.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,-2.1316282072803006e-14,4.440892098500626e-16,0.0,0.0,-2.498001805406602e-16,0.0,1.1102230246251565e-16,0.0,3.375077994860476e-14,0.0,-7.716050021144838e-15,-1.6653345369377348e-16,1.1102230246251565e-16,3.3306690738754696e-16,-3.375077994860476e-14,0.0,-6.938893903907228e-18,3.375077994860476e-14,-1.6132928326584306e-15,0.19624238427972363,0.0028058524358367046,0.0021914494494396385,0.006386154637389736,0.003964910102064834,0.0,0.0,0.0,1.3877787807814457e-17,0.46181935976391997,0.35,0.0402323329950896,0.00020390282400903784,0.001049082950955242,0.03026784307386413,0.03438615463738974,-9.861556341405104,0.09689611470870962,0.0,0.002805865512123182,1.307628647723158e-08,0.0021914494510565184,1.6168798071258816e-12,0.006386159873618482,5.236228745736371e-09,0.003964914823098968,4.721034133937929e-09
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,16.0,0.0,0.0,-3.3306690738754696e-16,0.0,0.0,-2.1316282072803006e-14,2.220446049250313e-16,0.0,0.0,-2.7755575615628914e-17,-4.440892098500626e-16,0.0,0.0,3.375077994860476e-14,0.0,-7.549516567451064e-15,0.0,2.7755575615628914e-16,-4.3021142204224816e-16,-3.352873534367973e-14,-1.1102230246251565e-16,6.938893903907228e-18,3.375077994860476e-14,-1.2073675392798577e-15,0.1962930095493761,0.0042511364273689345,0.0021895833591437813,0.007326918886931995,0.004731771231951721,0.0,0.0,0.0,0.0,0.4618852896013593,0.35,0.0402585474712932,0.0002026964772562742,0.0010430103932287413,0.030441876819840213,0.035326918886932,-9.856403554526299,0.08818108147878,0.0,0.004250963145168849,-1.7328220008536177e-07,0.0021895837638976462,4.0475386497290655e-10,0.007326801822347825,-1.1706458416960858e-07,0.0047316782312119,-9.300073982101975e-08
axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,18.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,-2.042810365310288e-14,-4.440892098500626e-16,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,3.197442310920451e-14,0.0,-7.271960811294775e-15,2.7755575615628914e-16,2.7755575615628914e-16,1.304512053934559e-15,-3.108624468950438e-14,0.0,-1.0408340855860843e-17,3.197442310920451e-14,-2.914335439641036e-16,0.19630633708310108,0.005500276577918614,0.0021880937028113134,0.008138364767730812,0.00539382517735185,0.0,0.0,0.0,1.0408340855860843e-17,0.46190264871821096,0.35,0.04026545063156937,0.00020160325989485148,0.0010374243182922765,0.030591373031182176,0.036138364767730816,-9.852346610224656,0.07803910884231671,0.0,0.005500381321240635,1.0474332202102532e-07,0.0021880934321538347,-2.7065747863416756e-10,0.008138437563831999,7.279610118697544e-08,0.005393882421031041,5.724367919089646e-08
