scenario,time,log_capital,log_capability,log_labor_productivity,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_research_price,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_effective_production_labor,log_automated_research,log_automated_research_services,log_effective_research,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,profit_shadow_ratio,ai_labor_ratio,ai_effective_labor_ratio,monopoly_root_fallback,labor_root_fallback,human_to_automated_research_ratio,human_to_automated_service_ratio,log_output_per_capita,log_output_per_effective_person,log_consumption_per_capita,log_capital_per_capita,monopoly_foc_log_error,capital_price_error,wage_foc_log_error,ai_price_foc_log_error,ai_share_definition_error,research_price_log_error,human_conditional_demand_log_error,automated_service_demand_log_error,automated_share_definition_error,research_scale_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,research_human_kkt_slack,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,output_per_effective_person_growth
axm_sigma_xl_1_hm_2_T_5800,2838.0,37.10726611384139,7.885071207517284,0.0,34.056,35.53369410249343,27.400171731509058,35.816808146569265,35.181209446271055,1.1371873198251379,-5.875155728486064,-7.885071207517284,-5.785843140388705,39.6820483960241,31.796977188506816,19.006631714231872,34.05599970883279,34.05599970883279,27.927999144586977,35.81307035210426,33.71425846684446,0.012797723466734787,0.003191099661430891,0.012797766491039177,0.0007977664910391764,0.009605997932055663,0.012797781267225972,0.0007977812672259714,0.000797780108266366,0.09079776649103918,0.04079776649103918,2.911671646413729e-07,0.9999997088328354,0.2,0.8660000000000001,0.11604399999999992,0.9995839047228844,0.01795600000000003,0.0003749158332011542,0.22823522587494105,0.7534338582918577,1.0,0.5359999999999999,0.5360001560656447,7.462686567164139,0.11604399999999995,0.5876844013681823,0.16169827589652838,0.030553814186996927,277.56320893410776,277.56320893410776,0.0,0.0,0.00013350556035993658,5.0240787614336964e-08,1.7608081465692678,1.7608081465692678,1.4776941024934303,3.0512661138413932,-6.217248937900877e-15,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,1.7763568394002505e-15,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,2.886579864025407e-15,0.0,-1.5333441922421587e-08,2.0699958243417665e-07,-3.4558126221773122e-09,-4.973923522534618e-08,0.0007977812672259714
axm_sigma_xl_1_hm_2_T_5800,2840.0,37.132861545116626,7.891453792381337,0.0,34.08,35.559289640888935,27.419383610425108,35.84240371230838,35.20680507823865,1.1387828832555513,-5.881538313350113,-7.891453792381337,-5.792222418784728,39.71402654662727,31.82257275424593,19.022670977219086,34.0799997111415,34.0799997111415,27.953612119299077,35.845065911680415,33.746247413484554,0.012797735783326172,0.003191148180759557,0.012797778700060138,0.0007977787000601373,0.009605964662767908,0.012797781630057514,0.000797781630057514,0.0007977804802852262,0.09079777870006014,0.04079777870006014,2.888584611002771e-07,0.9999997111415388,0.2,0.8660000000000001,0.11604399999999992,0.999587209820572,0.01795599999999997,0.000374922360157579,0.228235239949586,0.7534338376902564,1.0,0.5359999999999999,0.5360001548281798,7.462686567164166,0.11604400000000001,0.5876837537644153,0.16169811945430915,0.03055384785606635,279.7865064819549,279.7865064819549,0.0,0.0,0.00013223351542300448,4.944549256183126e-08,1.7624037123083838,1.7624037123083838,1.4792896408889362,3.0528615451166274,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,7.105427357601002e-15,3.552713678800501e-15,0.0,1.3322676295501878e-15,0.0,-1.244830791224949e-08,1.2342478919544903e-07,-3.3513054848582913e-09,-3.258310423553956e-08,0.000797781630057514
axm_sigma_xl_1_hm_2_T_5800,2842.0,37.158457007953785,7.89783626754952,0.0,34.104,35.58488520384236,27.438595465253453,35.867999273089495,35.23240068726082,1.1403784417462788,-5.887920788518294,-7.89783626754952,-5.798601613795566,39.74600458257656,31.84816831502704,19.03871028251494,34.10399971343188,34.10399971343188,27.979225016744564,35.877061284294086,33.77823622578353,0.012797739695226837,0.0031911969651452635,0.012797787593153982,0.000797787593153982,0.009605924105119217,0.012797786407665157,0.0007977864076651568,0.0007977852669966978,0.09079778759315399,0.040797787593153986,2.865680757038338e-07,0.9999997134319243,0.2,0.8660000000000001,0.11604399999999992,0.9995904886292784,0.017955999999999903,0.00037492886011704715,0.22823523181293195,0.7534338393269512,1.0,0.5359999999999999,0.5360001536005332,7.4626865671641855,0.11604400000000008,0.5876830304527562,0.16169793627621334,0.030553885461294405,282.0275804428881,282.0275804428881,0.0,0.0,0.0001309736062291431,4.866279792396302e-08,1.763999273089496,1.763999273089496,1.4808852038423623,3.0544570079537863,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,4.440892098500626e-15,0.0,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007977864076651568
axm_sigma_xl_1_hm_2_T_5800,2844.0,37.18405249583416,7.904218836663237,0.0,34.128,35.61048079122509,27.457807255028786,35.89359485793904,35.2579963198713,1.1419740243235381,-5.894303357632019,-7.904218836663237,-5.8049809287584475,39.77798273653983,31.873763899876597,19.054749368357427,34.12799971570417,34.12799971570417,28.00483783685529,35.90905667351853,33.810225106706305,0.012797743481533841,0.0031912454942725657,0.012797796397740889,0.0007977963977408888,0.00960588367386378,0.012797805732487788,0.0007978057324877878,0.0007978046008130235,0.0907977963977409,0.04079779639774089,2.8429578859490247e-07,0.9999997157042114,0.2,0.8660000000000001,0.11604399999999992,0.9995937414527946,0.017956000000000097,0.00037493532216956226,0.22823522344229247,0.753433841235538,1.0000000000000002,0.5359999999999999,0.5360001523825869,7.46268656716412,0.11604399999999988,0.5876823099770184,0.1616977537207496,0.030553922919174255,284.2866388333822,284.2866388333822,0.0,0.0,0.00012972568290177793,4.789248160105521e-08,1.7655948579390426,1.7655948579390426,1.4824807912250932,3.056052495834159,-8.881784197001252e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,-5.551115123125783e-16,0.0,4.893983017451031e-09,1.2017335876629912e-07,3.3809258240258266e-09,-1.667092849703955e-08,0.0007978057324877878
axm_sigma_xl_1_hm_2_T_5800,2846.0,37.20964800221731,7.910601704296282,0.0,34.152,35.6360764029134,27.477018938596093,35.919190496019446,35.283592022817515,1.1435696601495309,-5.900686225265055,-7.910601704296282,-5.811360567947239,39.80996124225327,31.89935953795699,19.070787971772987,34.15199971795858,34.15199971795858,28.030450579555875,35.94105228385216,33.84221426015143,0.01279775545844325,0.0031912932454147905,0.012797808355562275,0.0007978083555622746,0.009605850817120905,0.012797829557078089,0.0007978295570780884,0.0007978284343170827,0.09079780835556228,0.04079780835556228,2.820413830904786e-07,0.9999997179586169,0.2,0.8660000000000001,0.11604399999999992,0.9995969685906745,0.017955999999999903,0.0003749417353506877,0.22823523691380776,0.7534338213508416,0.9999999999999999,0.5359999999999999,0.5360001511742227,7.462686567164193,0.11604400000000008,0.5876816712371845,0.16169759926991042,0.030553956127641273,286.56389322553156,286.56389322553156,0.0,0.0,0.0001284895978122811,4.713432597522076e-08,1.7671904960194453,1.7671904960194453,1.4840764029134021,3.057648002217306,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,-4.440892098500626e-15,-7.105427357601002e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,3.3306690738754696e-15,0.0,2.7395468445851057e-09,2.0223905701846623e-07,3.5431675163288823e-09,-3.292002500460134e-08,0.0007978295570780884
axm_sigma_xl_1_hm_2_T_5800,2848.0,37.23524352938758,7.916984792677361,0.0,34.176,35.66167203877638,27.496230531948065,35.944786176167355,35.30918777831262,1.1451653380608064,-5.90706931364614,-7.916984792677361,-5.8177404534243475,39.84194001078227,31.924955218104905,19.086826193532566,34.175999720195215,34.175999720195215,28.05606324551909,35.97304803819645,33.87420360868778,0.012797772493188586,0.0031913404173098516,0.012797822245597244,0.000797822245597244,0.009605822727549257,0.012797847799998152,0.0007978477999981519,0.0007978466860958378,0.09079782224559725,0.04079782224559725,2.7980474775595707e-07,0.9999997201952523,0.2,0.8660000000000001,0.11604399999999992,0.9996001702089014,0.01795600000000003,0.0003749481040958443,0.22823526391082685,0.7534337879850773,1.0,0.5359999999999999,0.5360001499753876,7.4626865671641465,0.11604399999999995,0.587681084487367,0.1616974625647993,0.0305539866331805,288.859465295802,288.859465295802,0.0,0.0,0.00012726525189607642,4.638814784751571e-08,1.7687861761673531,1.7687861761673531,1.4856720387763787,3.0592435293875795,-5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.0,0.0,0.0,-3.552713678800501e-15,0.0,-4.440892098500626e-16,0.0,-3.3305420418100473e-09,2.459983568427887e-07,1.7077459741471346e-09,-4.5939948191062174e-08,0.0007978477999981519
axm_sigma_xl_1_hm_2_T_5800,2850.0,37.26083907962935,7.923368024035185,0.0,34.2,35.687267698683144,27.515442051077393,35.97038188721944,35.33478356856978,1.1467610468939142,-5.913452545003963,-7.923368024035185,-5.82412050725263,39.873918953192174,31.95055092915699,19.102864134406794,34.19999972241419,34.19999972241419,28.081675835417357,36.00504385945254,33.90619307488479,0.012797791453001028,0.0031913872087081497,0.01279783684682493,0.0007978368468249293,0.00960579659779906,0.012797860461251531,0.000797860461251531,0.0007978593561492886,0.09079783684682494,0.040797836846824934,2.7758577134389024e-07,0.9999997224142286,0.2,0.8660000000000001,0.11604399999999992,0.9996033464730183,0.01795600000000003,0.0003749544328406304,0.22823529611669383,0.7534337494504655,1.0,0.5359999999999999,0.5360001487860165,7.462686567164153,0.11604399999999995,0.5876805199817969,0.16169733324655888,0.030554015982282703,291.17347709737254,291.17347709737254,0.0,0.0,0.0001260525466541838,4.5653766502219875e-08,1.7703818872194361,1.7703818872194361,1.4872676986831408,3.0608390796293463,-4.440892098500626e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,7.105427357601002e-15,3.552713678800501e-15,0.0,0.0,-2.220446049250313e-15,0.0,-1.0183514819600559e-08,2.512525078390143e-07,-9.043179365064713e-10,-5.292334827843026e-08,0.000797860461251531
axm_sigma_xl_1_hm_2_T_5800,2852.0,37.286434655226984,7.929751320598461,0.0,34.224000000000004,35.712863382502775,27.534653511976764,35.99597761801236,35.360379375802175,1.1483567754854036,-5.9198358415672345,-7.929751320598461,-5.830500651495395,39.90589798054837,31.976146659949904,19.118901895165955,34.223999724615624,34.223999724615624,28.107288349922776,36.03703967052124,33.93818258131246,0.012797809205114918,0.0031914338183723114,0.012797850938222437,0.0007978509382224365,0.009605769620508693,0.012797867540827568,0.0007978675408275675,0.0007978664444738826,0.09079785093822244,0.04079785093822244,2.753843428033174e-07,0.9999997246156572,0.2,0.8660000000000001,0.11604399999999992,0.9996064975481169,0.017955999999999903,0.0003749607260208417,0.2282353252147757,0.7534337140592036,1.0,0.5359999999999999,0.5360001476060486,7.4626865671641855,0.11604400000000008,0.5876799479748341,0.1616972009563676,0.030554045721445794,293.506051053434,293.506051053434,0.0,0.0,0.00012485138415490931,4.493100368042233e-08,1.7719776180123574,1.7719776180123574,1.488863382502771,3.06243465522698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,6.661338147750939e-16,0.0,-1.4686605832522903e-08,2.1780274737969244e-07,-3.072001321727247e-09,-5.106286364575663e-08,0.0007978675408275675
axm_sigma_xl_1_hm_2_T_5800,2854.0,37.31203025846484,7.9361346045959,0.0,34.248,35.738459090104385,27.55386493063887,36.02157335738275,35.38597518222292,1.1499525126718098,-5.926219125564678,-7.9361346045959,-5.836880808216418,39.9378770039162,32.0017423993203,19.134939576580017,34.247999726799605,34.247999726799605,28.13290078970708,36.06903539430298,33.97017205054137,0.012797822616748264,0.003191480445077,0.012797863298764846,0.0007978632987648455,0.009605738988306672,0.01279786903873692,0.0007978690387369196,0.0007978679510731723,0.09079786329876485,0.04079786329876485,2.7320035128892547e-07,0.9999997267996487,0.2,0.8660000000000001,0.11604399999999992,0.9996096235988292,0.01795600000000003,0.0003749669880724577,0.22823534288839184,0.7534336901235357,1.0,0.5359999999999999,0.5360001464354307,7.4626865671641465,0.11604399999999995,0.5876793387209766,0.16169705533544168,0.030554077397172887,295.8573099502993,295.8573099502993,0.0,0.0,0.00012366166703543788,4.421968355370953e-08,1.7735733573827517,1.7735733573827517,1.4904590901043875,3.0640302584648396,-5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,8.881784197001252e-16,-7.105427357601002e-15,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,-3.4416913763379853e-15,0.0,-1.3707033084953135e-08,1.4545030080186094e-07,-3.57427925971876e-09,-3.755112280845463e-08,0.0007978690387369196
axm_sigma_xl_1_hm_2_T_5800,2856.0,37.3376258916273,7.942517798256209,0.0,34.272,35.764054821357085,27.573076323056398,36.04716909416731,35.411570970045226,1.1515482472896963,-5.932602319224991,-7.942517798256209,-5.843260899479949,39.96985593436107,32.02733813610486,19.150977279418484,34.27199972896628,34.27199972896628,28.15851315544165,36.10103095369786,34.002161405142694,0.01279782855513667,0.0031915272876088924,0.012797872707430553,0.0007978727074305532,0.009605701893813823,0.01279787053339021,0.0007978705333902096,0.0007978694543471221,0.09079787270743056,0.04079787270743056,2.710336861699638e-07,0.9999997289663138,0.2,0.8660000000000001,0.11604399999999992,0.9996127247893157,0.01795600000000003,0.00037497322343160163,0.22823534082092195,0.7534336859556464,1.0,0.5359999999999999,0.5360001452740941,7.462686567164126,0.11604399999999995,0.5876786624747997,0.16169688602503002,0.030554112555975496,298.2273769303547,298.2273769303547,0.0,0.0,0.00012248329850328407,4.35196326979441e-08,1.7751690941673104,1.7751690941673104,1.4920548213570868,3.065625891627299,-7.993605777301127e-15,0.0,0.0,0.0,0.0,0.0,-1.0658141036401503e-14,0.0,0.0,1.7763568394002505e-15,-7.105427357601002e-15,0.0,0.0,0.0,3.552713678800501e-15,0.0,3.1086244689504383e-15,0.0,-4.1120321852411434e-09,3.3996381429163974e-08,-1.190130148945312e-09,-9.580746595377887e-09,0.0007978705333902096
axm_sigma_xl_1_hm_2_T_5800,2858.0,37.363221552110836,7.948900980051227,0.0,34.296,35.789650576132104,27.592287673583925,36.07276483951631,35.43716675719364,1.1531439904891982,-5.9389855010200066,-7.948900980051227,-5.849641003525249,40.00183486150509,32.05293388145386,19.167014903144924,34.29599973111578,34.29599973111578,28.1841254473621,36.13302642741333,34.03415072335873,0.012797830223298834,0.0031915741454720016,0.012797880413034333,0.0007978804130343332,0.009605661204689694,0.012797885686490318,0.0007978856864903176,0.0007978846159684139,0.09079788041303434,0.04079788041303434,2.688841829111724e-07,0.9999997311158171,0.2,0.8660000000000001,0.11604399999999992,0.999615801351832,0.01795600000000003,0.00037497942800416634,0.2282353275144705,0.7534336930575254,1.0000000000000002,0.5359999999999999,0.5360001441219627,7.462686567164139,0.11604399999999995,0.5876779496054657,0.16169670360501298,0.030554149618944686,300.61642916192113,300.61642916192113,0.0,0.0,0.00012131615796886661,4.2830664771761676e-08,1.7767648395163107,1.7767648395163107,1.4936505761321044,3.067221552110837,-6.217248937900877e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,-7.105427357601002e-15,0.0,0.0,3.552713678800501e-15,0.0,0.0,-2.4424906541753444e-15,0.0,4.376413308138094e-09,9.203085971467087e-08,2.8347182500637613e-09,-1.221696868669575e-08,0.0007978856864903176
axm_sigma_xl_1_hm_2_T_5800,2860.0,37.38881723023212,7.955284454847285,0.0,34.32,35.815246354306225,27.611498920730323,36.09836063691327,35.46276261333831,1.15473978575357,-5.945368975816059,-7.955284454847285,-5.856021424890133,40.0338141336981,32.07852967885081,19.18305205552552,34.319999733248366,34.319999733248366,28.209737665067497,36.16502211991478,34.06614030899783,0.012797840004357713,0.0031916202395775076,0.012797891243013483,0.0007978912430134828,0.009605628011441474,0.012797909589080447,0.000797909589080447,0.0007979085269909092,0.09079789124301349,0.04079789124301349,2.667516011156802e-07,0.9999997332483989,0.2,0.8660000000000001,0.11604399999999992,0.9996188536145421,0.017955999999999903,0.0003749855853325843,0.22823533584027605,0.7534336785743914,0.9999999999999998,0.5359999999999999,0.5360001429788955,7.462686567164179,0.11604400000000008,0.5876773175849066,0.16169654899412197,0.030554182478560125,303.024724275605,303.024724275605,0.0,0.0,0.00012016009137047632,4.215257494245472e-08,1.7783606369132698,1.7783606369132698,1.495246354306225,3.0688172302321206,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,2.4424906541753444e-15,0.0,3.7043768278538503e-09,1.8201512017165453e-07,3.6728330047447466e-09,-2.8543912986706e-08,0.000797909589080447
axm_sigma_xl_1_hm_2_T_5800,2862.0,37.41441292769445,7.961668163609907,0.0,34.344,35.840842155753435,27.630710076689443,36.12395647787263,35.488358524975325,1.1563356245971619,-5.951752684578693,-7.961668163609907,-5.862402104374629,40.0657936834201,32.10412551981019,19.19908881317386,34.343999735364136,34.343999735364136,28.23534980916564,36.19701797277555,34.098130103302346,0.012797855524576712,0.003191665720803649,0.012797904272242401,0.0007979042722424008,0.009605600186780396,0.012797928629607824,0.000797928629607824,0.0007979275758973614,0.09079790427224241,0.040797904272242405,2.6463582885259925e-07,0.9999997353641712,0.2,0.8660000000000001,0.11604399999999992,0.9996218817426563,0.01795600000000016,0.0003749916988244577,0.22823535949656912,0.7534336488046061,0.9999999999999999,0.5359999999999999,0.5360001418448431,7.462686567164093,0.11604399999999981,0.5876767438724836,0.1616964143428997,0.030554212306717357,305.4523974742973,305.4523974742973,0.0,0.0,0.0001190150031401491,4.1485197520033433e-08,1.7799564778726307,1.7799564778726307,1.4968421557534342,3.0704129276944485,-1.2434497875801753e-14,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,5.329070518200751e-15,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,-1.4432899320127035e-15,0.0,-1.5838139168222742e-09,2.3442209478707204e-07,2.2486053366521652e-09,-4.2386337367056326e-08,0.000797928629607824
axm_sigma_xl_1_hm_2_T_5800,2864.0,37.440008646743834,7.968052029958767,0.0,34.368,35.86643798034755,27.6499211571675,36.1495523514317,35.51395447463617,1.1579314960571594,-5.9581365509275415,-7.968052029958767,-5.868782965441031,40.097773423328015,32.129721393369245,19.215125275051633,34.36799973746321,34.36799973746321,28.260961880312276,36.22901391027104,34.13012003023292,0.012797873706833995,0.0031917107843689955,0.012797918301399085,0.0007979183013990844,0.00960557497337216,0.012797942188774059,0.0007979421887740583,0.0007979411433876038,0.09079791830139909,0.04079791830139909,2.6253676043989234e-07,0.9999997374632396,0.2,0.8660000000000001,0.11604399999999992,0.9996248858932766,0.017955999999999903,0.00037499777283452805,0.22823539031440435,0.7534336119127611,0.9999999999999999,0.5359999999999999,0.5360001407197407,7.462686567164179,0.11604400000000008,0.5876761992538002,0.16169628947734327,0.03055424062230109,307.8995784649755,307.8995784649755,0.0,0.0,0.00011788080097776934,4.082837076833531e-08,1.7815523514316993,1.7815523514316993,1.4984379803475463,3.072008646743832,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,0.0,-8.411037087305284e-09,2.490565649917488e-07,-2.3864275312812655e-10,-5.098690752762536e-08,0.0007979421887740583
axm_sigma_xl_1_hm_2_T_5800,2866.0,37.46560438962631,7.974435977513534,0.0,34.392,35.89203382796239,27.669132177870708,36.17514824662773,35.53955044485232,1.1595273891707123,-5.964520498482308,-7.974435977513534,-5.875163931552075,40.12975326607881,32.15531728856527,19.23116154012027,34.39199973954568,34.39199973954568,28.286573879162763,36.261009856676296,34.162110013750734,0.012797891473985773,0.0031917556255037062,0.012797932131153746,0.0007979321311537453,0.009605549613865661,0.012797950266568492,0.0007979502665684916,0.0007979492294563073,0.09079793213115375,0.04079793213115375,2.604542903957549e-07,0.9999997395457096,0.2,0.8660000000000001,0.11604399999999992,0.9996278662230601,0.017955999999999903,0.00037500381171770884,0.22823542012478185,0.7534335760635005,0.9999999999999999,0.5359999999999999,0.5360001396035349,7.462686567164179,0.11604400000000008,0.5876756545146226,0.16169616422348504,0.03055426894420254,310.36639736372234,310.36639736372234,0.0,0.0,0.0001167573931210938,4.0181935155723624e-08,1.783148246627725,1.783148246627725,1.5000338279623904,3.073604389626304,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-14,0.0,0.0,5.329070518200751e-15,0.0,0.0,0.0,3.552713678800501e-15,-7.105427357601002e-15,0.0,3.1086244689504383e-15,0.0,-1.3700148895554043e-08,2.2572330062595528e-07,-2.5895814746018653e-09,-5.1588272365760135e-08,0.0007979502665684916
axm_sigma_xl_1_hm_2_T_5800,2868.0,37.49120015858786,7.980819929893875,0.0,34.416000000000004,35.91762969847178,27.68834315450528,36.200744152497975,35.5651464181552,1.1611232929749846,-5.970904450862648,-7.980819929893875,-5.881544926170954,40.161733124329395,32.18091319443552,19.247197707340767,34.41599974161166,34.41599974161166,28.312185806372163,36.29300573626604,34.19409997781755,0.01279790574889772,0.003191800439449393,0.012797944562181078,0.0007979445621810778,0.00960552135090717,0.012797952863001782,0.0007979528630017822,0.0007979518341123537,0.09079794456218108,0.04079794456218108,2.5838831344694323e-07,0.9999997416116866,0.2,0.8660000000000001,0.11604399999999992,0.9996308228882119,0.017955999999999903,0.000375009819829089,0.22823544075873126,0.7534335494214397,0.9999999999999999,0.5359999999999999,0.5360001384961726,7.462686567164193,0.11604400000000008,0.5876750804408017,0.1616960284073916,0.03055429879131756,312.8529846887597,312.8529846887597,0.0,0.0,0.00011564468834702283,3.954573333124715e-08,1.7847441524979715,1.7847441524979715,1.501629698471774,3.0752001585878546,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,-7.105427357601002e-15,0.0,0.0,0.0,-3.552713678800501e-15,0.0,-3.3306690738754696e-16,0.0,-1.4374015016443975e-08,1.642270600786186e-07,-3.604885522034973e-09,-4.143307815070163e-08,0.0007979528630017822
axm_sigma_xl_1_hm_2_T_5800,2870.0,37.516795955874514,7.987203810719462,0.0,34.44,35.94322559174952,27.70755410277743,36.226340058079735,35.59074237707634,1.1627191965071617,-5.977288331688243,-7.987203810719462,-5.88792587276133,40.19371291073675,32.206509100017286,19.263233875673823,34.43999974366124,34.43999974366124,28.33779766259515,36.325001473314614,34.22608984639571,0.012797913454437718,0.0031918454214589923,0.012797954395154514,0.0007979543951545133,0.009605487427131198,0.012797952412745062,0.0007979524127450614,0.0007979513920162162,0.09079795439515452,0.04079795439515452,2.5633872453699216e-07,0.9999997436612754,0.2,0.8660000000000001,0.11604399999999992,0.9996337560444744,0.01795600000000003,0.0003750158015238876,0.22823544404729848,0.7534335401511776,1.0,0.5359999999999999,0.5360001373975926,7.462686567164133,0.11604399999999995,0.5876744478183102,0.16169587185516526,0.030554331682550038,315.35947135336124,315.35947135336124,0.0,0.0,0.00011454259597282409,3.8919610100918776e-08,1.7863400580797375,1.7863400580797375,1.5032255917495192,3.076795955874516,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,8.881784197001252e-16,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,-7.771561172376096e-16,0.0,-7.355503331418767e-09,6.437259041222262e-08,-2.085228326814681e-09,-1.7763959392000372e-08,0.0007979524127450614
axm_sigma_xl_1_hm_2_T_5800,2872.0,37.54239178160095,7.993587611796745,0.0,34.464,35.96882150767128,27.726765024583486,36.251935962148956,35.61633831973231,1.1643150985430495,-5.983672132765527,-7.993587611796745,-5.894306762945803,40.225692615883254,32.232105004086506,19.279270056221243,34.46399974569457,34.46399974569457,28.36340944829165,36.356997060088396,34.25807961138387,0.012797914278384823,0.0031918905925207948,0.012797961508519536,0.0007979615085195353,0.009605447561653605,0.0127979635423916,0.0007979635423915991,0.0007979625297327431,0.09079796150851954,0.04079796150851954,2.543053964913345e-07,0.9999997456946035,0.2,0.8660000000000001,0.11604399999999992,0.9996366658754219,0.01795600000000003,0.00037502175743236646,0.22823542916128717,0.7534335490812804,0.9999999999999999,0.5359999999999999,0.5360001363077265,7.46268656716412,0.11604399999999995,0.5876737536659563,0.16169569353008698,0.030554367772916615,317.8860134299359,317.8860134299359,0.0,0.0,0.00011345101591163485,3.830340643446539e-08,1.787935962148957,1.787935962148957,1.5048215076712808,3.078391781600949,-8.881784197001252e-15,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-7.105427357601002e-15,0.0,7.105427357601002e-15,3.552713678800501e-15,7.105427357601002e-15,0.0,2.220446049250313e-15,0.0,3.404100888323991e-09,6.254126997274484e-08,2.0947169675905597e-09,-7.925793056584585e-09,0.0007979635423915991
axm_sigma_xl_1_hm_2_T_5800,2874.0,37.56798762520962,7.999971666384528,0.0,34.488,35.994417446122995,27.745975852662433,36.2775319122493,35.641934322283774,1.1659110466260927,-5.9900561873532965,-7.999971666384528,-5.90068792966006,40.25767262057137,32.257700954186845,19.295305820118166,34.487999747711875,34.487999747711875,28.38902116294243,36.38899282932696,34.29006960487538,0.01279792175395933,0.003191935100906289,0.012797971177747162,0.0007979711777471622,0.009605413874748388,0.012797986299384334,0.0007979862993843338,0.000797985294706649,0.09079797117774717,0.040797971177747167,2.5228809207867317e-07,0.9999997477119079,0.2,0.8660000000000001,0.11604399999999992,0.9996395527038541,0.017955999999999903,0.00037502766952837567,0.22823543202566038,0.7534335403048114,0.9999999999999999,0.5359999999999999,0.5360001352264524,7.4626865671642255,0.11604400000000008,0.5876731263635758,0.16169553814998944,0.030554400387692842,320.4328932043,320.4328932043,0.0,0.0,0.00011236979966921228,3.7696936369281016e-08,1.789531912249302,1.789531912249302,1.5064174461229953,3.0799876252096183,5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,-6.661338147750939e-16,0.0,4.3559148076716125e-09,1.6010326943198538e-07,3.6604287708547067e-09,-2.414680368330313e-08,0.0007979862993843338
