object,value,status
"sigma_HM=2.0,T=1600.0:initial_states",1.0,pass
"sigma_HM=2.0,T=1600.0:static_equations",1.0,pass
"sigma_HM=2.0,T=1600.0:dynamic_equations",1.0,pass
"sigma_HM=2.0,T=1600.0:interiority",1.0,pass
"sigma_HM=2.0,T=1600.0:monopoly_second_order",1.0,pass
"sigma_HM=2.0,T=1600.0:terminal_conditions",1.0,pass
"sigma_HM=2.0,T=1600.0:finite_terminal_tvc_proxies",1.0,pass
axm_sigma_xl_1_hm_2_T_1600:summary_matches_raw_path,1.0,pass
"sigma_HM=2.0,T=1800.0:initial_states",1.0,pass
"sigma_HM=2.0,T=1800.0:static_equations",1.0,pass
"sigma_HM=2.0,T=1800.0:dynamic_equations",1.0,pass
"sigma_HM=2.0,T=1800.0:interiority",1.0,pass
"sigma_HM=2.0,T=1800.0:monopoly_second_order",1.0,pass
"sigma_HM=2.0,T=1800.0:terminal_conditions",1.0,pass
"sigma_HM=2.0,T=1800.0:finite_terminal_tvc_proxies",1.0,pass
axm_sigma_xl_1_hm_2_T_1800:summary_matches_raw_path,1.0,pass
sigma_HM=2.0:horizon_initial_consumption_range,1.5393355323745084e-07,pass
sigma_HM=2.0:horizon_initial_shadow_range,1.1747198447320528e-07,pass
sigma_HM=2.0:horizon_maximum_solver_residual,1.5439601358168956e-05,pass
