scenario,normalization,omega_h,chi,time,time_to_terminal,log_capability,log_output_per_capita,capability_growth,output_per_capita_growth,wage_growth,aggregate_labor_share,human_research_share,automated_research_share,ai_share,output_capital_ratio,singularity_time_estimate
humans_current,fixed chi,0.65,0.01,0.0,1668.860607382151,0.0,0.024207560927320848,0.0016370742288376924,0.014605741362262236,0.01415177024122194,0.6323679019620674,0.00019724131374789408,0.1581371012457398,0.056353473304011345,0.34805266940350577,60.685253302165144
humans_current,fixed chi,0.65,0.01,0.15452413031316214,1668.706083251838,0.00025305118733317286,0.026442731692141834,0.001638155455448659,0.014325135047411407,0.013878460865535125,0.6323239010651668,0.00019762560959456425,0.1584593602873488,0.05641949601677968,0.34662417758574904,61.089870742196126
humans_current,fixed chi,0.65,0.01,0.3090482606263243,1668.5515591215249,0.0005062683895926014,0.028635067333019112,0.0016392230032560681,0.014051291812934085,0.013611751746300804,0.6322806081663355,0.00019800442969727713,0.15877660185031117,0.05648445700730316,0.34522921945668866,61.49061463698094
humans_current,fixed chi,0.65,0.01,0.46357239093948643,1668.3970349912115,0.0007596495157953416,0.030785596380966375,0.001640277164976538,0.013783999211270725,0.013351435135533496,0.6322380074443759,0.0001983778833669316,0.15908893328963714,0.05654837999003728,0.3438667708885646,61.887548748606505
humans_current,fixed chi,0.65,0.01,0.6180965212526486,1668.2425108608984,0.0010131925195597817,0.03289531520924546,0.0016413182252171998,0.013523053398535111,0.013097311710730253,0.6321960835349316,0.00019874607714440067,0.1593964590259027,0.05661128799501053,0.34253584832009537,62.28073565474435
humans_current,fixed chi,0.65,0.01,0.7726206515658107,1668.0879867305853,0.0012668953978755256,0.03496518933147465,0.0016423464607710017,0.01326825873289118,0.012849190182684378,0.6321548215132688,0.00019910911489357487,0.15969928064995167,0.05667320339360952,0.3412355067578175,62.670236775778264
humans_current,fixed chi,0.65,0.01,0.8498827167223917,1668.0107246654286,0.0013938061756151514,0.03598547821763097,0.0016428558537211384,0.013143109076697367,0.012727322442895872,0.6321344341625292,0.0001992887320050664,0.15984895841800587,0.05670379568255482,0.34059651862406065,62.86362405081952
humans_current,fixed chi,0.65,0.01,0.9271447818789729,1667.9334626002722,0.00152075618991604,0.03699615463534285,0.001643362140898619,0.013019427340178257,0.012606886869714895,0.6321142068778665,0.0001994670978904671,0.15999749702293706,0.05673414792315639,0.3399648378946054,63.056112401155374
humans_current,fixed chi,0.65,0.01,1.0,1667.860607382151,0.0016405010019714874,0.03794047990925621,0.0016438367347710802,0.012904124765190438,0.012494613002567156,0.6320952783696726,0.00019963415502072685,0.16013653051887042,0.056762551398682484,0.33937578367950794,63.23680480747823
humans_current,fixed chi,0.65,0.01,1.004406847035554,1667.8562005351155,0.0016477452020790882,0.037997331133721036,0.0016438653548281493,0.012897191192307932,0.01248786163310367,0.6320941379101543,0.00019964422481886455,0.1601449084115308,0.05676426273734519,0.33934035647272154,63.24770919042893
humans_current,fixed chi,0.65,0.01,1.081668912192135,1667.778938469959,0.0017747729759011548,0.03898911855360376,0.0016443655275965778,0.012776378747537464,0.012370225337676732,0.6320742255348036,0.000199820124908045,0.16029120437166827,0.056794142710289396,0.3387229683387617,63.43842171474319
humans_current,fixed chi,0.65,0.01,1.158930977348716,1667.7016764048024,0.0019018392776415306,0.03997162606110463,0.0016448626908606616,0.012656968539704671,0.01225395699938625,0.632054468051312,0.00019999481012695347,0.16043639653509043,0.05682379039106814,0.33811256950026675,63.62825720341743
humans_current,fixed chi,0.65,0.01,1.2361930425052972,1667.624414339646,0.0020289438759890023,0.040944961180342736,0.0016453568758546188,0.012538939522589231,0.012139036045244467,0.632034863782826,0.00020016829229811792,0.16058049638008673,0.056853208293328725,0.3375090579435107,63.81722281973175
humans_current,fixed chi,0.65,0.01,1.3392091293807384,1667.5213982527703,0.002198475850973041,0.04222865601311174,0.0016460112095239149,0.012383680415629438,0.011987869236451676,0.6320089602377882,0.00020039775061659985,0.1607709499017151,0.056892079009273004,0.33671491670839016,64.06783609882022
humans_current,fixed chi,0.65,0.01,1.44222521625618,1667.4183821658949,0.002368074966043953,0.04349647919086114,0.001646660375161193,0.012230792307344817,0.01183901523010844,0.6319833222809476,0.00020062511822026787,0.16095950808616452,0.05693055141462423,0.3359326097867139,64.31693219589948
humans_current,fixed chi,0.65,0.01,1.5452413031316214,1667.3153660790194,0.0025377406924619833,0.04474867255411006,0.0016473044434348943,0.012080228597234132,0.011692428477649841,0.6319579461257802,0.0002008504219619777,0.1611461969171126,0.05696863118561404,0.3351619109165572,64.56452755641055
humans_current,fixed chi,0.65,0.01,1.648257390007063,1667.212349992144,0.002707472508703731,0.04598547320423736,0.00164794348378281,0.01193194387301234,0.011548064596522689,0.6319328280544353,0.00020107368826534502,0.16133104193063544,0.057006323895578345,0.3344025994313148,64.81063842761264
humans_current,fixed chi,0.65,0.01,1.7512734768825042,1667.1093339052686,0.002877269900336821,0.0472071136231869,0.0016485775644400806,0.011785893859817886,0.0114058803157846,0.6319079644161174,0.00020129494313374645,0.16151406822520706,0.057043635017381245,0.3336544600870032,65.05528086146487
humans_current,fixed chi,0.65,0.01,1.8542895637579457,1667.0063178183932,0.003047132359897421,0.04841382178941297,0.001649206752466399,0.011642035392457128,0.011265833450013751,0.6318833516255147,0.0002015142121590718,0.16169530047142483,0.05708056992576796,0.33291728289594597,65.29847071745345
humans_current,fixed chi,0.65,0.01,1.957305650633387,1666.9033017315178,0.003217059386770519,0.0496058212902189,0.0016498311137724162,0.011500326380432312,0.011127882867112415,0.6318589861612752,0.00020173152053024483,0.16187476292145297,0.05711713389964742,0.3321908629665704,65.5402236653653
humans_current,fixed chi,0.65,0.01,2.0,1666.860607382151,0.0032875033496141855,0.050095578473169776,0.001650088476860767,0.011442216291469364,0.011071315071942145,0.6318489597267406,0.00020182101376363856,0.16194862687537742,0.05713218010575668,0.3318929085926751,65.63999910335127
humans_current,fixed chi,0.65,0.01,2.008813694071108,1666.85179368808,0.0033020469583508374,0.050196373988295864,0.0016501415046945407,0.01143026504758594,0.011059681103708918,0.6318468950932429,0.0002018394472339264,0.1619638379395505,0.057135278410148135,0.33183162430174756,65.66056614440336
