scenario,alpha,eta,sigma_xl,sigma_hm,horizon,solver_success,mesh_nodes,max_rms_residual,max_equilibrium_residual,initial_log_consumption,initial_log_shadow_value,terminal_output_per_capita_growth,terminal_net_interest_rate,terminal_aggregate_labor_share,terminal_ai_share,terminal_consumption_share,terminal_shadow_object,terminal_shadow_target
near_unit_sigma_xl_090_hm_2_T_5000,0.33,0.2,0.9,2.0,5000.0,1,2159,9.171512530016034e-07,9.674228382307304e-07,-0.561796572223538,-0.6395447775604426,6.792378919328462e-06,0.0400134434287191,0.5744430030982124,0.14262238343820582,0.7726666666666845,profit_shadow_ratio,0.03232
near_unit_sigma_xl_090_hm_2_T_5300,0.33,0.2,0.9,2.0,5300.0,1,2234,9.237830689704187e-07,9.644629548246492e-07,-0.5617965654847493,-0.6395447727162157,3.3566275594691664e-06,0.04000661633647515,0.5745712284387627,0.14243100233083486,0.7726666666666789,profit_shadow_ratio,0.03232
near_unit_sigma_xl_090_hm_2_T_5600,0.33,0.2,0.9,2.0,5600.0,1,2299,9.55801278654042e-07,9.322768330637804e-07,-0.5617965899193504,-0.6395447923121911,1.6441446821884032e-06,0.04000323524339129,0.5746341898613985,0.14233703005775789,0.772666666666668,profit_shadow_ratio,0.03232
