scenario,alpha,eta,sigma_xl,sigma_hm,horizon,solver_nodes_requested,acceptance_tolerance,solver_tolerance,time,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_research_price,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,profit_shadow_ratio,ai_labor_ratio,monopoly_root_fallback,labor_root_fallback,human_to_automated_research_ratio,human_to_automated_service_ratio,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,monopoly_foc_log_error,capital_price_error,wage_foc_log_error,ai_price_foc_log_error,ai_share_definition_error,research_price_log_error,human_conditional_demand_log_error,automated_service_demand_log_error,automated_share_definition_error,research_scale_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,0.0,1.0796090227264181,0.0,0.0,-0.6540912566211163,-0.0960246351538496,-0.431798471576644,-1.1762230583229285,-1.4460080085428846,2.0598455715635953,-0.0,-0.2924585665182426,-3.670225406209331,-3.670225406209331,-6.799951182890011,-0.0011144502895529384,-8.864998399839168,-8.864998399839168,-7.522717708822247,-0.014731466687579582,0.002221186585867824,-0.005202241844769827,-0.017202241844769827,-0.005395550369221791,0.0018929830616155469,-0.010107016938384453,-0.010773621371709619,0.07279775815523018,0.022797758155230177,0.0011138295204558444,0.9988861704795442,0.4592760670418143,0.8725263460680462,0.19428057698142306,0.3499999999999888,0.03922555094764236,0.0002175243133289664,0.15987602211981797,0.8006809026192107,1.0,0.36228503508198434,0.36268900880673827,7.8447582630196475,0.2684894139703732,1.399022581076728,0.30862335609372593,0.028037825463441225,0.025499129722749432,0.0,0.0,7.885670226154862,7.885670226154862,-0.431798471576644,-0.6540912566211163,1.0796090227264181,1.3322676295501878e-15,0.0,4.336808689942018e-17,-4.440892098500626e-16,5.551115123125783e-17,0.0,4.884981308350689e-14,0.0,0.0,-2.7755575615628914e-16,0.0,0.0,-3.197442310920451e-14,-1.942890293094024e-16,-4.907185768843192e-14,0.0,0.0,0.0,0.0,0.0,8.673617379884035e-19
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,2.0,1.0536350449794591,0.0044355420792059124,0.024,-0.6621605335764549,-0.10494529315543827,-0.42672123472535917,-1.155851939654598,-1.4661571623452347,2.0502604505051982,-0.0044355420792059124,-0.3071079562174921,-3.6541358581099868,-3.6585714001891927,-6.787290504164839,0.022898122367755774,-8.87248687491634,-8.868051332837135,-7.5155567942001715,-0.011297814164436377,0.0022145255725153283,-0.0029063219533726134,-0.014906321953372614,-0.003555341338515254,0.0031842537896693,-0.0088157462103307,-0.009375532430640543,0.0750936780466274,0.02509367804662739,0.001101270787995839,0.9988987292120042,0.4599320093048852,0.8718682173307652,0.19478820826437038,0.34999999999999026,0.03948437853344824,0.00021480806699524538,0.17007718436438474,0.7902236290351717,1.0,0.36184555376572686,0.3622444830330037,7.804464896749672,0.26867006770082486,1.3857083925543168,0.31532709059691955,0.028494002595066577,0.025297897727452,0.0,0.0,8.046171359288271,8.01056126107502,-0.4507212347253592,-0.6861605335764549,1.0296350449794591,8.664943762504151e-16,0.0,-1.734723475976807e-17,0.0,0.0,0.0,4.3520742565306136e-14,0.0,0.0,0.0,0.0,0.0,-2.842170943040401e-14,-2.7755575615628914e-16,-4.3520742565306136e-14,0.0,0.0,1.5068558401054588e-08,-2.2818098959799527e-09,1.0435153454356472e-07,2.990706797403181e-08
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,4.0,1.0341968066049267,0.008858753153226534,0.048,-0.6658723237478323,-0.11036653114325895,-0.4190614564179668,-1.1348453770113325,-1.4835101382654468,2.0416127579502725,-0.008858753153226534,-0.3199355144415371,-3.636653614302432,-3.6455123674556584,-6.773507186173394,0.04690932869927545,-8.876056532845105,-8.867197779691878,-7.506298893904891,-0.008195031044405839,0.0022088379462421683,-0.0008436107411621194,-0.01284361074116212,-0.0018956023449135696,0.004411589605509955,-0.007588410394490045,-0.008046335997663245,0.07715638925883789,0.027156389258837885,0.0010900767349596898,0.9989099232650404,0.4604726424845044,0.8713257820405471,0.19520573469237662,0.3499999999999908,0.03969814129948892,0.00021240938662417665,0.17880100258535428,0.7812884467285327,1.0,0.361483329535382,0.3618778041105412,7.771564621555463,0.26881852916512905,1.373762984323577,0.32119573202379614,0.028897372947514505,0.025133266720905278,0.0,0.0,8.187014869876574,8.11480842782018,-0.4670614564179668,-0.7138723237478324,0.9861968066049267,4.9439619065339e-16,0.0,-4.85722573273506e-17,-4.440892098500626e-16,-5.551115123125783e-17,0.0,4.085620730620576e-14,0.0,0.0,-3.3306690738754696e-16,0.0,0.0,-2.6645352591003757e-14,-1.1657341758564144e-15,-4.085620730620576e-14,0.0,0.0,-1.0071406025477514e-07,9.231826778727248e-10,-9.865940467888856e-08,-6.179893545944087e-08
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,6.0,1.0206387071747653,0.013271468939685557,0.07200000000000001,-0.6656847368073848,-0.11264499504278272,-0.40907487630331935,-1.1132621636880478,-1.4983425063358877,2.0338040488532263,-0.013271468939685557,-0.33112100421258445,-3.6179113440628403,-3.6311828130025257,-6.758726525534598,0.07091934316891295,-8.876108240276748,-8.862836771337063,-7.495165111565487,-0.005416234181704255,0.0022040147898827354,0.0009945664495841292,-0.011005433550415871,-0.0004116573885675247,0.005512740553944684,-0.006487259446055316,-0.0068532258722509565,0.07899456644958414,0.028994566449584133,0.001080073131772256,0.9989199268682277,0.4609089078757249,0.8708880624313561,0.1955420871919989,0.34999999999999126,0.039870924232783246,0.00021028782635500672,0.18624879382593348,0.7736699941149282,1.0,0.3611910317232643,0.36158156625792365,7.7452172032375985,0.2689380440439524,1.3630179882918816,0.3262758031760652,0.029251942802859872,0.025001219201782672,0.0,0.0,8.309352725029317,8.199803952908114,-0.48107487630331935,-0.7376847368073849,0.9486387071747653,-2.255140518769849e-16,0.0,-1.3877787807814457e-17,-4.440892098500626e-16,0.0,0.0,3.907985046680551e-14,0.0,0.0,-5.551115123125783e-17,0.0,0.0,-2.5757174171303632e-14,-1.3877787807814457e-16,-3.930189507173054e-14,0.0,0.0,-3.601180574887286e-07,1.8482695053265163e-09,-2.910281052086183e-07,-2.0662239177699632e-07
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,8.0,1.0123253779888102,0.01767531887313942,0.096,-0.6620352341979525,-0.1121247502734847,-0.3970104942021881,-1.091160998415665,-1.5109230417544506,2.0267404536350413,-0.01767531887313942,-0.3408396997113593,-3.5980400697552577,-3.6157153886283973,-6.74306601027972,0.09492832262677933,-8.873028260440433,-8.855352941567293,-7.4823664362303965,-0.002947305647193317,0.0021999540788024963,0.002620808185731398,-0.009379191814268602,0.0009048241424926759,0.006492494172530838,-0.005507505827469162,-0.0057912399685398075,0.0806208081857314,0.030620808185731402,0.0010711033321051358,0.9989288966678949,0.4612516274342429,0.8705442004743097,0.1958059595511602,0.34999999999999104,0.04000683780205727,0.00020840697773368978,0.19259778568151725,0.7671869695386918,1.0,0.36096140961905726,0.3613484511491341,7.724644269811571,0.26903175257888545,1.3533203114281906,0.3306235673985044,0.029561987257722556,0.02489798525143768,0.0,0.0,8.414549157566109,8.2671260315165,-0.4930104942021881,-0.7580352341979525,0.9163253779888102,-1.0234868508263162e-15,0.0,-1.3877787807814457e-16,-4.440892098500626e-16,-5.551115123125783e-17,0.0,3.9968028886505635e-14,0.0,0.0,3.3306690738754696e-16,-2.220446049250313e-16,0.0,-2.5757174171303632e-14,-5.828670879282072e-16,-3.907985046680551e-14,0.0,0.0,4.259911058224902e-07,-1.9641914683274364e-09,3.3096309915055244e-07,2.388772549965709e-07
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,10.0,1.0086552801493416,0.02207173188222028,0.12,-0.655332940370874,-0.10913031864944966,-0.383104899613196,-1.068598719496237,-1.521507466210047,2.0203342211511335,-0.02207173188222028,-0.34925832016067515,-3.5771656297207257,-3.599237361602946,-6.726633891181754,0.11893640664007768,-8.867180565798062,-8.845108833915841,-7.468100121138708,-0.0007691154814702533,0.0021965618377277132,0.004050300070681641,-0.00794969992931836,0.002064694040243148,0.007358006114225338,-0.0046419938857746625,-0.004852796447101515,0.08205030007068165,0.032050300070681645,0.0010630279449796417,0.9989369720550204,0.46151120659286377,0.8702837560518267,0.19600560939015227,0.34999999999999143,0.04010988517367453,0.00020673440292912727,0.1980028333488074,0.7616805470745891,1.0000000000000002,0.3607874915827813,0.36117142690250675,7.709134720240117,0.26910262324354417,1.3445324245132184,0.33430087541233544,0.02983184670179756,0.024820085947958547,0.0,0.0,8.50408532596399,8.318441709283979,-0.5031048996131959,-0.775332940370874,0.8886552801493416,-2.7755575615628914e-16,0.0,-2.7755575615628914e-17,-4.440892098500626e-16,-5.551115123125783e-17,0.0,3.6415315207705135e-14,0.0,0.0,4.440892098500626e-16,0.0,0.0,-2.3092638912203256e-14,8.881784197001252e-16,-3.597122599785507e-14,0.0,0.0,1.4922886786179757e-07,-5.209652856677516e-10,1.0907017243891315e-07,8.235111953296126e-08
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,12.0,1.0090696699421087,0.026461955203882163,0.14400000000000002,-0.645954276771153,-0.10396226425275444,-0.36757846974528674,-1.045629046009228,-1.5303342275428566,2.0145046538797087,-0.026461955203882163,-0.356532293189583,-3.555406213494473,-3.581868168698355,-6.709528568595849,0.14294371841236928,-8.858902004544962,-8.83244004934108,-7.452547586856702,0.0011405955134122722,0.0021937526592363693,0.005299663935185682,-0.006700336064814318,0.00308032812240042,0.008117687877970514,-0.003882312122029486,-0.004028906880032268,0.08329966393518569,0.033299663935185686,0.0010557239186036926,0.9989442760813964,0.46169742658225377,0.8700969153291387,0.1961487252346819,0.34999999999999243,0.04018386633141429,0.00020524143608794697,0.20259861471418827,0.7570122775183096,1.0,0.3606627241898899,0.36104388685691036,7.698046605542316,0.2691534094786957,1.3365319482109308,0.3373717034079077,0.03006577312663872,0.02476435564871681,0.0,0.0,8.579481118305003,8.355428778722828,-0.5115784697452868,-0.789954276771153,0.8650696699421087,1.0408340855860843e-16,0.0,-2.7755575615628914e-17,-4.440892098500626e-16,-5.551115123125783e-17,0.0,3.375077994860476e-14,0.0,0.0,-3.3306690738754696e-16,-4.440892098500626e-16,0.0,-2.220446049250313e-14,-8.743006318923108e-16,-3.397282455352979e-14,0.0,0.0,-5.110574503516818e-07,1.4846889971782684e-09,-3.6082312224704205e-07,-2.794637621820334e-07
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,14.0,1.0130551627947748,0.03084707805118708,0.168,-0.634242518386033,-0.09689611470870962,-0.35063414810131394,-1.022302017647149,-1.537623093730176,2.009178198085701,-0.03084707805118708,-0.3628048492078976,-3.5328713733254675,-3.5637184513766544,-6.691838876473896,0.16695036637635788,-8.848501178610329,-8.817654100559142,-7.435874204903754,0.0028058524358367046,0.0021914494494396385,0.006386154637389736,-0.005613845362610264,0.003964910102064848,0.008780569750734865,-0.003219430249265135,-0.003309875070727275,0.08438615463738974,0.03438615463738974,0.0010490829509552423,0.9989509170490447,0.4618193597639201,0.8699745757035335,0.1962423842797237,0.34999999999999226,0.0402323329950896,0.00020390282400903784,0.20650225595307609,0.7530615082278254,1.0,0.3605810289581735,0.3609597056313331,7.690803590226582,0.2691866380467368,1.32921043950534,0.33989987179918296,0.030267843073864122,0.02472793408637972,0.0,0.0,8.6422442663559,8.379726058852365,-0.5186341481013139,-0.802242518386033,0.8450551627947748,-7.251144129583054e-16,0.0,-2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,3.375077994860476e-14,0.0,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-2.1316282072803006e-14,3.3306690738754696e-16,-3.375077994860476e-14,0.0,0.0,1.2145306248212417e-07,-3.368358131479454e-10,8.461812884847514e-08,6.58757806724225e-08
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,16.0,1.0201464800258444,0.0352280441303915,0.192,-0.6205067740902948,-0.08818108147878,-0.3324561907423473,-0.9986634763445911,-1.5435737278257657,2.0042886177640704,-0.0352280441303915,-0.36820609949775235,-3.5096610847393803,-3.5448891288697717,-6.673644138268431,0.1909564452929148,-8.836257074500454,-8.801029030370062,-7.418228850504024,0.0042511364273689345,0.0021895833591437813,0.007326918886931995,-0.004673081113068005,0.004731771231951721,0.009356236946235622,-0.0026437630537643787,-0.002685373804986846,0.085326918886932,0.035326918886932,0.001043010393228741,0.9989569896067713,0.4618852896013593,0.8699084260999697,0.1962930095493761,0.34999999999999243,0.0402585474712932,0.0002026964772562742,0.20981508830472506,0.7497236677467254,0.9999999999999999,0.3605368559670893,0.36091329228199376,7.686892932577282,0.2692045965616175,1.3224725830654118,0.3419470025012541,0.03044187681984022,0.02470826366334559,0.0,0.0,8.693824414840277,8.392889775462685,-0.5244561907423473,-0.8125067740902947,0.8281464800258445,-1.2073675392798577e-15,0.0,-2.7755575615628914e-17,-4.440892098500626e-16,0.0,0.0,3.375077994860476e-14,0.0,0.0,2.7755575615628914e-16,-3.3306690738754696e-16,0.0,-2.1316282072803006e-14,-4.3021142204224816e-16,-3.352873534367973e-14,0.0,0.0,4.497989890125606e-07,-1.107094763086458e-09,3.075911596348707e-07,2.430118084366384e-07
axm_complements_sigma_xl_075_hm_1,0.33,0.2,0.75,1.0,4500.0,401,1e-05,1e-06,18.0,1.0299285581238384,0.03960566323154262,0.216,-0.6050213124871896,-0.07803910884231671,-0.31320920031637145,-0.9747546634287138,-1.5483645889501234,1.9997771251594916,-0.03960566323154262,-0.3728523259139876,-3.485865019237495,-3.5254706824690376,-6.6550142547444375,0.2149620371846341,-8.822418052100817,-8.782812388869274,-7.399743601688151,0.005500276577918614,0.0021880937028113134,0.008138364767730812,-0.0038616352322691887,0.00539382517735186,0.00985411748099252,-0.002145882519007481,-0.002145223852827838,0.08613836476773082,0.036138364767730816,0.0010374243182922761,0.9989625756817078,0.46190264871821096,0.869891009119395,0.19630633708310108,0.3499999999999927,0.04026545063156937,0.00020160325989485148,0.21262408823407747,0.7469088578744584,1.0,0.3605252253587986,0.3608996314128891,7.68586393016954,0.26920932400963193,1.3162354821578708,0.34357082449195364,0.030591373031182166,0.024703087172385816,0.0,0.0,8.735575251625127,8.396358786935334,-0.5292092003163714,-0.8210213124871896,0.8139285581238385,-2.914335439641036e-16,0.0,8.326672684688674e-17,0.0,5.551115123125783e-17,0.0,3.197442310920451e-14,0.0,0.0,2.7755575615628914e-16,2.220446049250313e-16,0.0,-2.042810365310288e-14,1.304512053934559e-15,-3.108624468950438e-14,0.0,0.0,-2.4223570282630447e-07,5.456056431304979e-10,-1.6348947044428352e-07,-1.3048470441298643e-07
