category,scenario,sigma_xl,sigma_hm,horizon,metric,value,relation,threshold,status,details
solver,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,maximum_rms_residual,7.654146656019622e-07,<,1e-05,pass,cold-start solve
equations,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,maximum_static_equation_error,3.658939817796636e-11,<,1e-08,pass,independent reconstruction
equations,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,maximum_saved_rate_equation_error,3.5388358909926865e-15,<,2e-05,pass,saved ODE rates versus independently reconstructed RHS
equations,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,maximum_independent_dynamic_error,5.165572835481858e-07,<,2e-05,pass,centered seven-point derivatives on interior dates
monopoly,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,maximum_monopoly_foc_log_error,1.6563994620355516e-10,<,1e-09,pass,dimensionless log FOC
monopoly,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,minimum_monopoly_soc_margin,0.07423013353470312,>,0.0,pass,
terminal_imposed,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,maximum_imposed_terminal_error,4.107825191113079e-15,<,1e-07,pass,C/Y and X/(q A^2) only
transversality,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,household_tvc_log_proxy,-124.44282036686938,<,-20.0,pass,finite-horizon diagnostic
transversality,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,developer_tvc_log_proxy,-134.8837866052551,<,-20.0,pass,finite-horizon diagnostic
implementation,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,maximum_static_fallback_flag,0.0,=,0.0,pass,monopoly and labor root flags on accepted paths
implementation,axm_complements_sigma_xl_075_hm_1_T_4500,0.75,1.0,4500.0,accepted_path_bounded_exp_clipping_count,0.0,=,0.0,pass,"reconstructed argument range [-35.8456, 32.4067]; rejected solver trials unobservable"
solver,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,solver_success_flag,1.0,=,1.0,pass,
solver,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,cold_start_flag,1.0,=,1.0,pass,no continuation from another horizon
solver,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,solver_tolerance,1e-06,<=,1e-05,pass,declared ex-ante numerical tolerance
solver,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,maximum_rms_residual,8.406902678083746e-07,<,1e-05,pass,cold-start solve
equations,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,maximum_static_equation_error,5.31841237716435e-11,<,1e-08,pass,independent reconstruction
equations,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,maximum_saved_rate_equation_error,1.0200174038743626e-15,<,2e-05,pass,saved ODE rates versus independently reconstructed RHS
equations,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,maximum_independent_dynamic_error,8.343140075976058e-07,<,2e-05,pass,centered seven-point derivatives on interior dates
monopoly,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,maximum_monopoly_foc_log_error,3.9884540115053824e-11,<,1e-09,pass,dimensionless log FOC
monopoly,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,minimum_monopoly_soc_margin,0.07432711491787831,>,0.0,pass,
terminal_imposed,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,maximum_imposed_terminal_error,4.107825191113079e-15,<,1e-07,pass,C/Y and X/(q A^2) only
transversality,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,household_tvc_log_proxy,-99.24285458898528,<,-20.0,pass,finite-horizon diagnostic
transversality,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,developer_tvc_log_proxy,-108.31941922137965,<,-20.0,pass,finite-horizon diagnostic
implementation,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,maximum_static_fallback_flag,0.0,=,0.0,pass,monopoly and labor root flags on accepted paths
implementation,axm_complements_sigma_xl_075_hm_2_T_3600,0.75,2.0,3600.0,accepted_path_bounded_exp_clipping_count,0.0,=,0.0,pass,"reconstructed argument range [-27.781, 24.3489]; rejected solver trials unobservable"
solver,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,solver_success_flag,1.0,=,1.0,pass,
solver,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,cold_start_flag,1.0,=,1.0,pass,no continuation from another horizon
solver,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,solver_tolerance,1e-06,<=,1e-05,pass,declared ex-ante numerical tolerance
solver,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,maximum_rms_residual,8.989860598878596e-07,<,1e-05,pass,cold-start solve
equations,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,maximum_static_equation_error,5.32089927673951e-11,<,1e-08,pass,independent reconstruction
equations,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,maximum_saved_rate_equation_error,1.0200174038743626e-15,<,2e-05,pass,saved ODE rates versus independently reconstructed RHS
equations,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,maximum_independent_dynamic_error,6.498005512695082e-07,<,2e-05,pass,centered seven-point derivatives on interior dates
monopoly,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,maximum_monopoly_foc_log_error,6.679279351828882e-11,<,1e-09,pass,dimensionless log FOC
monopoly,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,minimum_monopoly_soc_margin,0.07424131491253508,>,0.0,pass,
terminal_imposed,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,maximum_imposed_terminal_error,4.107825191113079e-15,<,1e-07,pass,C/Y and X/(q A^2) only
transversality,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,household_tvc_log_proxy,-111.84282481368567,<,-20.0,pass,finite-horizon diagnostic
transversality,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,developer_tvc_log_proxy,-121.99863907523235,<,-20.0,pass,finite-horizon diagnostic
implementation,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,maximum_static_fallback_flag,0.0,=,0.0,pass,monopoly and labor root flags on accepted paths
implementation,axm_complements_sigma_xl_075_hm_2_T_4050,0.75,2.0,4050.0,accepted_path_bounded_exp_clipping_count,0.0,=,0.0,pass,"reconstructed argument range [-31.0222, 27.5902]; rejected solver trials unobservable"
solver,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,solver_success_flag,1.0,=,1.0,pass,
solver,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,cold_start_flag,1.0,=,1.0,pass,no continuation from another horizon
solver,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,solver_tolerance,1e-06,<=,1e-05,pass,declared ex-ante numerical tolerance
solver,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,maximum_rms_residual,7.7090103548264e-07,<,1e-05,pass,cold-start solve
equations,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,maximum_static_equation_error,5.31947819126799e-11,<,1e-08,pass,independent reconstruction
equations,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,maximum_saved_rate_equation_error,1.0269562977782698e-15,<,2e-05,pass,saved ODE rates versus independently reconstructed RHS
equations,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,maximum_independent_dynamic_error,5.195450066709101e-07,<,2e-05,pass,centered seven-point derivatives on interior dates
monopoly,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,maximum_monopoly_foc_log_error,3.1390712251777586e-10,<,1e-09,pass,dimensionless log FOC
monopoly,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,minimum_monopoly_soc_margin,0.07421213443462571,>,0.0,pass,
terminal_imposed,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,maximum_imposed_terminal_error,4.107825191113079e-15,<,1e-07,pass,C/Y and X/(q A^2) only
transversality,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,household_tvc_log_proxy,-124.4428146843365,<,-20.0,pass,finite-horizon diagnostic
transversality,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,developer_tvc_log_proxy,-135.67837865969727,<,-20.0,pass,finite-horizon diagnostic
implementation,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,maximum_static_fallback_flag,0.0,=,0.0,pass,monopoly and labor root flags on accepted paths
implementation,axm_complements_sigma_xl_075_hm_2_T_4500,0.75,2.0,4500.0,accepted_path_bounded_exp_clipping_count,0.0,=,0.0,pass,"reconstructed argument range [-34.2627, 30.8306]; rejected solver trials unobservable"
terminal_nonimposed,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_nonimposed_growth_or_interest_error,1.135610315689678e-06,<,2e-05,pass,capital_growth=1.13561e-06; consumption_growth=9.80533e-07; output_growth_independent=1.87269e-07; capability_growth=3.45084e-07; shadow_growth=9.56377e-07; net_interest_rate=9.80533e-07
terminal_nonimposed,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,limiting_ai_share_error,2.9594223585893698e-05,<,0.0005,pass,s_X=(1-sigma_XL)/(1-alpha*sigma_XL)
terminal_nonimposed,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,terminal_inference_output_share,6.609965354794777e-06,<,0.0001,pass,
terminal_nonimposed,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,terminal_research_output_share,3.062016447912672e-08,<,0.0001,pass,
terminal_nonimposed,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,terminal_human_population_share,1.2710647043555793e-07,<,1e-05,pass,
terminal_diagnostic,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,terminal_wage_growth_independent,-9.344780504960681e-08,diagnostic,,pass,seven-point backward derivative; not an acceptance gate
terminal_nonimposed,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_nonimposed_growth_or_interest_error,5.64460380518203e-07,<,2e-05,pass,capital_growth=5.08811e-07; consumption_growth=4.69101e-07; output_growth_independent=7.07678e-08; capability_growth=3.85033e-08; shadow_growth=5.6446e-07; net_interest_rate=4.69101e-07
terminal_nonimposed,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,limiting_ai_share_error,1.3458736976446062e-05,<,0.0005,pass,s_X=(1-sigma_XL)/(1-alpha*sigma_XL)
terminal_nonimposed,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,hm2_one_minus_machine_share,0.0001826257365395989,<,0.002,pass,
terminal_nonimposed,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,terminal_inference_output_share,3.0059063576885658e-06,<,0.0001,pass,
terminal_nonimposed,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,terminal_research_output_share,4.463330475438225e-08,<,0.0001,pass,
terminal_nonimposed,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,terminal_human_population_share,1.822236468216024e-11,<,1e-05,pass,
terminal_diagnostic,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,terminal_wage_growth_independent,-2.2408682798236157e-08,diagnostic,,pass,seven-point backward derivative; not an acceptance gate
horizon_stability,"sigma_HM=1:T=3600,4050,4500",0.75,1.0,3600-4500,initial_log_consumption_range,2.8845223398743514e-07,<,2e-06,pass,every horizon is a cold-start solve
horizon_stability,"sigma_HM=1:T=3600,4050,4500",0.75,1.0,3600-4500,initial_log_shadow_range,2.0443892695398702e-07,<,2e-06,pass,every horizon is a cold-start solve
horizon_stability,"sigma_HM=2:T=3600,4050,4500",0.75,2.0,3600-4500,initial_log_consumption_range,2.9131864809350816e-07,<,2e-06,pass,every horizon is a cold-start solve
horizon_stability,"sigma_HM=2:T=3600,4050,4500",0.75,2.0,3600-4500,initial_log_shadow_range,2.0668274526569608e-07,<,2e-06,pass,every horizon is a cold-start solve
overall,all,0.75,,,all_ex_ante_acceptance_gates,0.0,=,0.0,pass,number of failed component gates
