point,time,ai_to_no_ai_output_pc,ai_to_no_ai_consumption_pc,ai_to_no_ai_wage,ai_output_pc_growth,ai_net_interest,ai_capability_index,ai_shadow_capability_to_output,ai_labor_share,ai_profit_share,ai_inference_share,ai_research_share
t=0,0.0,1.0,0.9773638010538492,0.7999999999999999,0.010006497756669744,0.04999999999999999,0.9999999999999999,0.48456451974650594,0.5359999999999999,0.11603759644809113,0.017955999999999996,6.403551908859926e-06
t=25,25.0,1.000331138151174,0.977626516410875,0.8002649105209388,0.010016706090610145,0.05001604298674055,1.0017208691377315,0.4844811840123925,0.5359999999999999,0.11603706728709942,0.017955999999999996,6.932712900557163e-06
t=50,50.0,1.0007801027703793,0.9780574461303914,0.8006240822163034,0.010018924519006003,0.05001875774754612,1.003587515587387,0.4844120014122842,0.5359999999999999,0.11603649497217695,0.017955999999999996,7.505027823030613e-06
t=100,100.0,1.0018100521566646,0.9790572371041149,0.8014480417253319,0.010022260571975448,0.05002212133492702,1.0078087130505329,0.48426054609643876,0.5359999999999999,0.11603520887969354,0.017955999999999996,8.791120306434407e-06
t=250,250.0,1.0060950128459085,0.9832188949931694,0.8048760102767268,0.010035658777842175,0.050035439710413576,1.0254983278081047,0.4836422395044021,0.5359999999999999,0.116029940309569,0.017955999999999996,1.4059690430988129e-05
AI BGP,nan,nan,nan,nan,0.010866666666666667,0.050866666666666664,nan,0.4514582634931276,0.5359999999999999,0.11573098893731142,0.017955999999999996,0.0003130110626885685
